Original_Infix,Perturbed_Infix,Original_Prefix,Perturbed_Prefix,Original_Postfix,Perturbed_Postfix,Category,Original_Result,Perturbed_Result,Is_Equivalent_Infix,Is_Equivalent_Prefix,Is_Equivalent_Postfix,Is_Equivalent_Infix_Prefix,Is_Equivalent_Infix_Postfix,Is_Equivalent_Prefix_Postfix
( 648.40 * 6.71 ) + 131,( 648.40 * 6.71 ) + 131,+ * 648.40 6.71 131,+ * 648.40 6.71 131,648.40 6.71 * 131 +,648.40 6.71 * 131 +,Simple,4481.76,4481.76,True,True,True,True,True,True
( 999.60 - 101.13 ) * ( 471 + 784 ),( 999.60 - 101.13 ) * ( 471 + 784 ),* - 999.60 101.13 + 471 784,* - 999.60 101.13 + 471 784,999.60 101.13 - 471 784 + *,999.60 101.13 - 471 784 + *,Simple,1127579.85,1127579.85,True,True,True,True,True,True
( 969 * 245 + 646.26 ),( 969 * 245 + 646.26 ),+ * 969 245 646.26,+ * 969 245 646.26,969 245 * 646.26 +,969 245 * 646.26 +,Simple,238051.26,238051.26,True,True,True,True,True,True
( 541 - 459 + 809 ),( 541 - 459 + 809 ),- 541 + 459 809,- 541 + 459 809,541 459 - 809 +,541 459 - 809 +,Simple,891.0,891.0,True,True,True,True,True,True
( 957 + 55 + 512 ) * 936.64 - 452,( 957 + 55 + 512 ) * 936.64 - 452,- * + 957 + 55 512 936.64 452,- * + 957 + 55 512 936.64 452,957 55 + 512 + 936.64 * 452 -,957 55 + 512 + 936.64 * 452 -,Simple,1426987.36,1426987.36,True,True,True,True,True,True
( 141 - 430 + 476.53 ),( 141 - 430 + 476.53 ),- 141 + 430 476.53,- 141 + 430 476.53,141 430 - 476.53 +,141 430 - 476.53 +,Simple,187.53,187.53,True,True,True,True,True,True
( 455 + 199 / 790 ),( 455 / 199 / 790 ),+ 455 / 199 790,/ 455 / 199 790,455 199 790 / +,455 199 / 790 /,Simple,455.25,0.0,False,False,False,False,False,False
( ( 825.65 + 995.29 / ( 849.50 / 937 ) ) + 746 + 112.23 ),( ( 825.65 + 995.29 - ( 849.50 / 937 ) ) + 746 + 112.23 ),+ + 825.65 / 995.29 / 849.50 937 + 746 112.23,+ + 825.65 - 995.29 / 849.50 937 + 746 112.23,825.65 995.29 849.50 937 / / + 746 + 112.23 +,825.65 995.29 + 849.50 937 / - 746 + 112.23 +,Simple,2781.69,2678.26,False,False,False,False,False,False
( 660.52 * 890 * ( 152 * 136 ) ),( 660.52 * 890 * ( 152 * 136 ) ),* 660.52 * 890 * 152 136,* 660.52 * 890 * 152 136,660.52 890 * 152 136 * *,660.52 890 * 152 136 * *,Simple,12152299801.6,12152299801.6,True,True,True,True,True,True
( 173 + 538 * 594 ) + ( ( 767 / 325 ) + 253 ),( 173 + 538 * 594 ) + ( ( 767 / 325 ) + 253 ),+ + 173 * 538 594 + / 767 325 253,+ + 173 * 538 594 + / 767 325 253,173 538 594 * + 767 325 / 253 + +,173 538 594 * + 767 325 / 253 + +,Simple,320000.36,320000.36,True,True,True,True,True,True
( ( 441 * ( 82 * ( 173 / 59 ) ) ) + 497.62 ),( ( 441 * ( 82 * ( 173 / 59 ) ) ) + 497.62 ),+ * 441 * 82 / 173 59 497.62,+ * 441 * 82 / 173 59 497.62,441 82 173 59 / * * 497.62 +,441 82 173 59 / * * 497.62 +,Simple,106531.96,106531.96,True,True,True,True,True,True
( ( 926.24 / 246 ) + 470 ),( ( 926.24 / 246 ) + 470 ),+ / 926.24 246 470,+ / 926.24 246 470,926.24 246 / 470 +,926.24 246 / 470 +,Simple,473.77,473.77,True,True,True,True,True,True
64 - 804.98 * 786,64 - 804.98 * 786,- 64 * 804.98 786,- 64 * 804.98 786,64 804.98 786 * -,64 804.98 786 * -,Simple,-632650.28,-632650.28,True,True,True,True,True,True
324.16 ^ ( 376 - 285 / ( 127 / 319 ) ),324.16 ^ ( 376 - 285 / ( 127 / 319 ) ),^ 324.16 - 376 / 285 / 127 319,^ 324.16 - 376 / 285 / 127 319,324.16 376 285 127 319 / / - ^,324.16 376 285 127 319 / / - ^,Simple,0.0,0.0,True,True,True,True,True,True
( 688 / 720 / 278 * ( 593 + 802 ) * 668.14 ),( 688 / 720 / 278 * ( 593 + 802 ) * 668.14 ),/ 688 / 720 * 278 * + 593 802 668.14,/ 688 / 720 * 278 * + 593 802 668.14,688 720 / 278 / 593 802 + * 668.14 *,688 720 / 278 / 593 802 + * 668.14 *,Simple,3203.71,3203.71,True,True,True,True,True,True
( 101 - 249.53 - 72.39 ),( 101 - 249.53 - 72.39 ),- 101 - 249.53 72.39,- 101 - 249.53 72.39,101 249.53 - 72.39 -,101 249.53 - 72.39 -,Simple,-220.92,-220.92,True,True,True,True,True,True
29 + 677 / 250,29 + 677 / 250,+ 29 / 677 250,+ 29 / 677 250,29 677 250 / +,29 677 250 / +,Simple,31.71,31.71,True,True,True,True,True,True
( 868 + 10 ) - 913.98 / 690 * 106,( 868 + 10 ) - 913.98 * 690 * 106,- + 868 10 / 913.98 * 690 106,- + 868 10 * 913.98 * 690 106,868 10 + 913.98 690 / 106 * -,868 10 + 913.98 690 * 106 * -,Simple,737.59,-66847619.2,False,False,False,False,False,False
( 734.58 + 709 + 901 ),( 734.58 + 709 + 901 ),+ 734.58 + 709 901,+ 734.58 + 709 901,734.58 709 + 901 +,734.58 709 + 901 +,Simple,2344.58,2344.58,True,True,True,True,True,True
( ( 162.46 + 731.48 ) ^ 43 ) + 556 * 732,( ( 162.46 + 731.48 ) ^ 43 ) * 556 + 732,+ ^ + 162.46 731.48 43 * 556 732,+ * ^ + 162.46 731.48 43 556 732,162.46 731.48 + 43 ^ 556 732 * +,162.46 731.48 + 43 ^ 556 * 732 +,Simple,8.058606190323315e+126,4.480585041819763e+129,False,False,False,False,False,False
( ( 492.55 - 715 * 589 ) - 88 / 881 / 807 ),( ( 492.55 - 715 * 589 ) - 88 / 881 / 807 ),- - 492.55 * 715 589 / 88 / 881 807,- - 492.55 * 715 589 / 88 / 881 807,492.55 715 589 * - 88 881 / 807 / -,492.55 715 589 * - 88 881 / 807 / -,Simple,-420642.45,-420642.45,True,True,True,True,True,True
( ( 839.59 * 266 ) * 312 ),( ( 839.59 / 266 ) * 312 ),* * 839.59 266 312,* / 839.59 266 312,839.59 266 * 312 *,839.59 266 / 312 *,Simple,69679253.28,984.78,False,False,False,False,False,False
( 291.14 * ( 332 + 19 * 370.42 ) ),( 291.14 * ( 332 + 19 * 370.42 ) ),* 291.14 + 332 * 19 370.42,* 291.14 + 332 * 19 370.42,291.14 332 19 370.42 * + *,291.14 332 19 370.42 * + *,Simple,2145695.98,2145695.98,True,True,True,True,True,True
( 633 - 541 + 790.69 ),( 633 - 541 + 790.69 ),- 633 + 541 790.69,- 633 + 541 790.69,633 541 - 790.69 +,633 541 - 790.69 +,Simple,882.69,882.69,True,True,True,True,True,True
( 440 + 117.14 + 396.14 * 13.75 + 731 + 744 ),( 440 + 117.14 + 396.14 * 13.75 + 731 + 744 ),+ 440 + 117.14 + * 396.14 13.75 + 731 744,+ 440 + 117.14 + * 396.14 13.75 + 731 744,440 117.14 + 396.14 13.75 * + 731 + 744 +,440 117.14 + 396.14 13.75 * + 731 + 744 +,Simple,7479.07,7479.07,True,True,True,True,True,True
( 833 - 340.71 / 243 ),( 833 - 340.71 / 243 ),- 833 / 340.71 243,- 833 / 340.71 243,833 340.71 243 / -,833 340.71 243 / -,Simple,831.6,831.6,True,True,True,True,True,True
826 * ( ( 606 + 458 ) * 22 ),826 * ( ( 606 - 458 ) * 22 ),* 826 * + 606 458 22,* 826 * - 606 458 22,826 606 458 + 22 * *,826 606 458 - 22 * *,Simple,19335008.0,2689456.0,False,False,False,False,False,False
( 821 + ( 692.43 + 42 ) ),( 821 + ( 692.43 + 42 ) ),+ 821 + 692.43 42,+ 821 + 692.43 42,821 692.43 42 + +,821 692.43 42 + +,Simple,1555.43,1555.43,True,True,True,True,True,True
( 892 * 188 ) * 600 / 688 / 355 / 734.60,( 892 * 188 ) * 600 / 688 / 355 * 734.60,* * 892 188 / 600 / 688 / 355 734.60,* * 892 188 / 600 / 688 * 355 734.60,892 188 * 600 * 688 / 355 / 734.60 /,892 188 * 600 * 688 / 355 / 734.60 *,Simple,0.56,302627.29,False,False,False,False,False,False
( 475 + 105 / ( 895 * ( 367 + 360 ) ) ) - 46,( 475 + 105 / ( 895 * ( 367 + 360 ) ) ) - 46,- + 475 / 105 * 895 + 367 360 46,- + 475 / 105 * 895 + 367 360 46,475 105 895 367 360 + * / + 46 -,475 105 895 367 360 + * / + 46 -,Simple,429.0,429.0,True,True,True,True,True,True
( ( 377.67 + 283 ) / 288 * 484.69 ),( ( 377.67 + 283 ) / 288 * 484.69 ),/ + 377.67 283 * 288 484.69,/ + 377.67 283 * 288 484.69,377.67 283 + 288 / 484.69 *,377.67 283 + 288 / 484.69 *,Simple,1111.88,1111.88,True,True,True,True,True,True
( 285 + 285.0 * 732 * 640.20 ) / 264.16,( 285 + 285.0 * 732 * 640.20 ) / 264.16,/ + 285 * 285.0 * 732 640.20 264.16,/ + 285 * 285.0 * 732 640.20 264.16,285 285.0 732 * 640.20 * + 264.16 /,285 285.0 732 * 640.20 * + 264.16 /,Simple,505598.16,505598.16,True,True,True,True,True,True
967 + 549 - ( 836 + ( 627 - 771 ) ),967 + 549 - ( 836 - ( 627 + 771 ) ),+ 967 - 549 + 836 - 627 771,+ 967 - 549 - 836 + 627 771,967 549 + 836 627 771 - + -,967 549 + 836 627 771 + - -,Simple,824.0,2078.0,False,False,False,False,False,False
( 232 - 64.17 - 244 - 395.6 ) - ( 67.84 / 681.26 ),( 232 - 64.17 - 244 - 395.6 ) - ( 67.84 / 681.26 ),- - 232 - 64.17 - 244 395.6 / 67.84 681.26,- - 232 - 64.17 - 244 395.6 / 67.84 681.26,232 64.17 - 244 - 395.6 - 67.84 681.26 / -,232 64.17 - 244 - 395.6 - 67.84 681.26 / -,Simple,-471.87,-471.87,True,True,True,True,True,True
155 / 186.90 * ( 630 * 537 ),155 * 186.90 * ( 630 / 537 ),/ 155 * 186.90 * 630 537,* 155 * 186.90 / 630 537,155 186.90 / 630 537 * *,155 186.90 * 630 537 / *,Simple,280567.42,33986.56,False,False,False,False,False,False
163.71 + ( 30.33 + 654 + 467 ),163.71 + ( 30.33 + 654 + 467 ),+ 163.71 + 30.33 + 654 467,+ 163.71 + 30.33 + 654 467,163.71 30.33 654 + 467 + +,163.71 30.33 654 + 467 + +,Simple,1315.04,1315.04,True,True,True,True,True,True
755.89 + 776 + 806,755.89 + 776 + 806,+ 755.89 + 776 806,+ 755.89 + 776 806,755.89 776 + 806 +,755.89 776 + 806 +,Simple,2337.89,2337.89,True,True,True,True,True,True
( 918.43 * 297 * 564.92 - 603.85 ),( 918.43 * 297 * 564.92 - 603.85 ),- * 918.43 * 297 564.92 603.85,- * 918.43 * 297 564.92 603.85,918.43 297 * 564.92 * 603.85 -,918.43 297 * 564.92 * 603.85 -,Simple,154094720.4,154094720.4,True,True,True,True,True,True
539 - 615 + 182.57,539 - 615 + 182.57,- 539 + 615 182.57,- 539 + 615 182.57,539 615 - 182.57 +,539 615 - 182.57 +,Simple,106.57,106.57,True,True,True,True,True,True
( 801 + ( 134.81 + 162 ) ) - ( 581.58 * ( 213 * 389 ) ),( 801 + ( 134.81 + 162 ) ) - ( 581.58 * ( 213 * 389 ) ),- + 801 + 134.81 162 * 581.58 * 213 389,- + 801 + 134.81 162 * 581.58 * 213 389,801 134.81 162 + + 581.58 213 389 * * -,801 134.81 162 + + 581.58 213 389 * * -,Simple,-48186876.25,-48186876.25,True,True,True,True,True,True
( 712.31 * 391 * ( 677 / 60.13 * 489 ) ),( 712.31 * 391 * ( 677 / 60.13 * 489 ) ),* 712.31 * 391 / 677 * 60.13 489,* 712.31 * 391 / 677 * 60.13 489,712.31 391 * 677 60.13 / 489 * *,712.31 391 * 677 60.13 / 489 * *,Simple,1533388220.69,1533388220.69,True,True,True,True,True,True
( ( 480.11 + 227.63 + 855 ) * 975 ),( ( 480.11 + 227.63 - 855 ) * 975 ),* + 480.11 + 227.63 855 975,* + 480.11 - 227.63 855 975,480.11 227.63 + 855 + 975 *,480.11 227.63 + 855 - 975 *,Simple,1523671.5,-143578.5,False,False,False,False,False,False
586 + 15.22 / 256,586 + 15.22 / 256,+ 586 / 15.22 256,+ 586 / 15.22 256,586 15.22 256 / +,586 15.22 256 / +,Simple,586.06,586.06,True,True,True,True,True,True
722.74 * 520 * ( 13.89 * 971 ) / 522.42,722.74 * 520 / ( 13.89 * 971 ) / 522.42,* 722.74 * 520 / * 13.89 971 522.42,* 722.74 / 520 / * 13.89 971 522.42,722.74 520 * 13.89 971 * * 522.42 /,722.74 520 * 13.89 971 * / 522.42 /,Simple,9702577.4,0.05,False,False,False,False,False,False
489 * 516 * ( ( 157 * 622.30 ) + 409 / 722 ),489 * 516 * ( ( 157 * 622.30 ) + 409 / 722 ),* 489 * 516 + * 157 622.30 / 409 722,* 489 * 516 + * 157 622.30 / 409 722,489 516 * 157 622.30 * 409 722 / + *,489 516 * 157 622.30 * 409 722 / + *,Simple,24652475293.4,24652475293.4,True,True,True,True,True,True
( ( 533.28 + 300.13 ) + ( 547 - 976 ) / 183 ),( ( 533.28 + 300.13 ) + ( 547 - 976 ) / 183 ),+ + 533.28 300.13 / - 547 976 183,+ + 533.28 300.13 / - 547 976 183,533.28 300.13 + 547 976 - 183 / +,533.28 300.13 + 547 976 - 183 / +,Simple,831.07,831.07,True,True,True,True,True,True
( ( 265.82 / 41 ) * 983 - 287 ) * 871.88,( ( 265.82 / 41 ) * 983 - 287 ) * 871.88,* - * / 265.82 41 983 287 871.88,* - * / 265.82 41 983 287 871.88,265.82 41 / 983 * 287 - 871.88 *,265.82 41 / 983 * 287 - 871.88 *,Simple,5306433.08,5306433.08,True,True,True,True,True,True
906 / 810.33 - 836,906 / 810.33 - 836,- / 906 810.33 836,- / 906 810.33 836,906 810.33 / 836 -,906 810.33 / 836 -,Simple,-834.88,-834.88,True,True,True,True,True,True
( 817 * 843 / ( 487 + 162 + 252 ) ),( 817 * 843 / ( 487 + 162 + 252 ) ),* 817 / 843 + 487 + 162 252,* 817 / 843 + 487 + 162 252,817 843 * 487 162 + 252 + /,817 843 * 487 162 + 252 + /,Simple,764.41,764.41,True,True,True,True,True,True
( ( 900 - ( 738 / 88 - 426 ) ) - 379 ),( ( 900 - ( 738 / 88 - 426 ) ) - 379 ),- - 900 - / 738 88 426 379,- - 900 - / 738 88 426 379,900 738 88 / 426 - - 379 -,900 738 88 / 426 - - 379 -,Simple,938.61,938.61,True,True,True,True,True,True
296 / 917 / 145.18,296 / 917 - 145.18,/ 296 / 917 145.18,- / 296 917 145.18,296 917 / 145.18 /,296 917 / 145.18 -,Simple,0.0,-144.86,False,False,False,False,False,False
( ( 926 * 308 / 619 ) + 591 ) + 933.43,( ( 926 * 308 / 619 ) + 591 ) + 933.43,+ + * 926 / 308 619 591 933.43,+ + * 926 / 308 619 591 933.43,926 308 * 619 / 591 + 933.43 +,926 308 * 619 / 591 + 933.43 +,Simple,1985.19,1985.19,True,True,True,True,True,True
890 + 770 - 76,890 - 770 + 76,+ 890 - 770 76,- 890 + 770 76,890 770 + 76 -,890 770 - 76 +,Simple,1584.0,196.0,False,False,False,False,False,False
( 542.91 * 554 - 177 - ( 351 - 248 ) ),( 542.91 * 554 - 177 - ( 351 - 248 ) ),- * 542.91 554 - 177 - 351 248,- * 542.91 554 - 177 - 351 248,542.91 554 * 177 - 351 248 - -,542.91 554 * 177 - 351 248 - -,Simple,300492.14,300492.14,True,True,True,True,True,True
( 730.74 * ( 673.82 * ( 467 * 209 ) * 116 ) ) / 594.94,( 730.74 * ( 673.82 * ( 467 * 209 ) * 116 ) ) / 594.94,/ * 730.74 * 673.82 * * 467 209 116 594.94,/ * 730.74 * 673.82 * * 467 209 116 594.94,730.74 673.82 467 209 * * 116 * * 594.94 /,730.74 673.82 467 209 * * 116 * * 594.94 /,Simple,9370327390.48,9370327390.48,True,True,True,True,True,True
( ( 68 - 447 ) / 995 ) / ( ( 334.65 * 587 ) + 701 ),( ( 68 - 447 ) / 995 ) / ( ( 334.65 * 587 ) + 701 ),/ / - 68 447 995 + * 334.65 587 701,/ / - 68 447 995 + * 334.65 587 701,68 447 - 995 / 334.65 587 * 701 + /,68 447 - 995 / 334.65 587 * 701 + /,Simple,-0.0,-0.0,True,True,True,True,True,True
( 201.51 * 351 ) * ( 658 / 528 ),( 201.51 * 351 ) * ( 658 / 528 ),* * 201.51 351 / 658 528,* * 201.51 351 / 658 528,201.51 351 * 658 528 / *,201.51 351 * 658 528 / *,Simple,88144.6,88144.6,True,True,True,True,True,True
260 - ( 562 / 819 - 853 ),260 - ( 562 / 819 - 853 ),- 260 - / 562 819 853,- 260 - / 562 819 853,260 562 819 / 853 - -,260 562 819 / 853 - -,Simple,1112.31,1112.31,True,True,True,True,True,True
( 729.67 - ( ( 367.68 - 975.28 ) / 778.80 + 38 * 528 ) ),( 729.67 - ( ( 367.68 - 975.28 ) / 778.80 + 38 * 528 ) ),- 729.67 + / - 367.68 975.28 778.80 * 38 528,- 729.67 + / - 367.68 975.28 778.80 * 38 528,729.67 367.68 975.28 - 778.80 / 38 528 * + -,729.67 367.68 975.28 - 778.80 / 38 528 * + -,Simple,-19333.55,-19333.55,True,True,True,True,True,True
( 130 - 35.40 / 306 ) / 30.97,( 130 - 35.40 / 306 ) / 30.97,/ - 130 / 35.40 306 30.97,/ - 130 / 35.40 306 30.97,130 35.40 306 / - 30.97 /,130 35.40 306 / - 30.97 /,Simple,4.19,4.19,True,True,True,True,True,True
784 - 848 * 995.9 - 384 + 356,784 - 848 * 995.9 - 384 * 356,- 784 - * 848 995.9 + 384 356,- 784 - * 848 995.9 * 384 356,784 848 995.9 * - 384 - 356 +,784 848 995.9 * - 384 356 * -,Simple,-843767.2,-980443.2,False,False,False,False,False,False
( 818.36 - 633.12 + 870 ),( 818.36 - 633.12 + 870 ),- 818.36 + 633.12 870,- 818.36 + 633.12 870,818.36 633.12 - 870 +,818.36 633.12 - 870 +,Simple,1055.24,1055.24,True,True,True,True,True,True
503 * 34 * 526.51,503 * 34 * 526.51,* 503 * 34 526.51,* 503 * 34 526.51,503 34 * 526.51 *,503 34 * 526.51 *,Simple,9004374.02,9004374.02,True,True,True,True,True,True
582.74 + 3 + ( 686 - 480 ) + 376.86,582.74 + 3 + ( 686 - 480 ) + 376.86,+ 582.74 + 3 + - 686 480 376.86,+ 582.74 + 3 + - 686 480 376.86,582.74 3 + 686 480 - + 376.86 +,582.74 3 + 686 480 - + 376.86 +,Simple,1168.6,1168.6,True,True,True,True,True,True
609 + 712 + 973.87 - 404,609 / 712 + 973.87 - 404,+ 609 + 712 - 973.87 404,+ / 609 712 - 973.87 404,609 712 + 973.87 + 404 -,609 712 / 973.87 + 404 -,Simple,1890.87,570.73,False,False,False,False,False,False
777 * 835 / 733,777 * 835 / 733,* 777 / 835 733,* 777 / 835 733,777 835 * 733 /,777 835 * 733 /,Simple,885.12,885.12,True,True,True,True,True,True
462 * 354 * 966,462 * 354 * 966,* 462 * 354 966,* 462 * 354 966,462 354 * 966 *,462 354 * 966 *,Simple,157987368.0,157987368.0,True,True,True,True,True,True
216 * ( 191 * 884.82 ),216 * ( 191 * 884.82 ),* 216 * 191 884.82,* 216 * 191 884.82,216 191 884.82 * *,216 191 884.82 * *,Simple,36504133.92,36504133.92,True,True,True,True,True,True
( 90.18 / 828 - ( 459.79 / 182 ) ),( 90.18 / 828 - ( 459.79 / 182 ) ),- / 90.18 828 / 459.79 182,- / 90.18 828 / 459.79 182,90.18 828 / 459.79 182 / -,90.18 828 / 459.79 182 / -,Simple,-2.42,-2.42,True,True,True,True,True,True
870.7 / ( 902 - 887.45 / 277 * 681 ),870.7 / ( 902 - 887.45 / 277 * 681 ),/ 870.7 - 902 / 887.45 * 277 681,/ 870.7 - 902 / 887.45 * 277 681,870.7 902 887.45 277 / 681 * - /,870.7 902 887.45 277 / 681 * - /,Simple,-0.68,-0.68,True,True,True,True,True,True
( 195.90 / 349 * ( ( 331 - 302 ) + 62 ) ),( 195.90 / 349 * ( ( 331 - 302 ) + 62 ) ),/ 195.90 * 349 + - 331 302 62,/ 195.90 * 349 + - 331 302 62,195.90 349 / 331 302 - 62 + *,195.90 349 / 331 302 - 62 + *,Simple,51.08,51.08,True,True,True,True,True,True
( ( 178 * 990.28 ) * 836 ),( ( 178 * 990.28 ) * 836 ),* * 178 990.28 836,* * 178 990.28 836,178 990.28 * 836 *,178 990.28 * 836 *,Simple,147361586.24,147361586.24,True,True,True,True,True,True
( 494 - ( 469.93 / 326 ) ) * ( 439 / 305 ),( 494 - ( 469.93 / 326 ) ) * ( 439 / 305 ),* - 494 / 469.93 326 / 439 305,* - 494 / 469.93 326 / 439 305,494 469.93 326 / - 439 305 / *,494 469.93 326 / - 439 305 / *,Simple,708.96,708.96,True,True,True,True,True,True
