SubTask,ExampleType,ModelFamily,ModelName,Mode,Accuracy
contextual_qa,ZeroShot,meta-llama,Meta-Llama-3.1-8B-Instruct,test,11.53
contextual_qa,ZeroShot,meta-llama,Llama-3.1-70B-Instruct,dev,22.6
contextual_qa,ZeroShot,meta-llama,Llama-3.1-70B-Instruct,test,17.49
contextual_qa,ZeroShot,meta-llama,Llama-3.2-1B-Instruct,dev,8.48
contextual_qa,ZeroShot,meta-llama,Llama-3.2-1B-Instruct,test,9.79
contextual_qa,ZeroShot,meta-llama,Llama-3.1-405B-Instruct,dev,20.32
contextual_qa,ZeroShot,meta-llama,Llama-3.1-405B-Instruct,test,19.68
contextual_qa,ZeroShot,internlm,internlm2_5-7b-chat,dev,1.8
contextual_qa,ZeroShot,internlm,internlm2_5-7b-chat,test,3.76
contextual_qa,ZeroShot,microsoft,Phi-3.5-mini-instruct,dev,7.5
contextual_qa,ZeroShot,microsoft,Phi-3.5-mini-instruct,test,6.2
contextual_qa,ZeroShot,Qwen,Qwen2.5-72B-Instruct,dev,24.66
contextual_qa,ZeroShot,Qwen,Qwen2.5-72B-Instruct,test,21.84
contextual_qa,ZeroShot,Qwen,Qwen2.5-32B-Instruct,dev,12.59
contextual_qa,ZeroShot,Qwen,Qwen2.5-32B-Instruct,test,12.77
contextual_qa,ZeroShot,Qwen,Qwen2.5-7B-Instruct,dev,14.98
contextual_qa,ZeroShot,Qwen,Qwen2.5-7B-Instruct,test,17.98
outline_extraction,ZeroShot,baichuan-inc,Baichuan-7B,test,0
outline_extraction,ZeroShot,openai,gpt-4-turbo,dev,80.4
outline_extraction,ZeroShot,openai,gpt-4-turbo,test,82.33
outline_extraction,ZeroShot,THUDM,glm-4-9b-chat,dev,48.07
outline_extraction,ZeroShot,THUDM,glm-4-9b-chat,test,66.22
outline_extraction,ZeroShot,01-ai,Yi-1.5-9B-Chat,dev,16.69
outline_extraction,ZeroShot,01-ai,Yi-1.5-9B-Chat,test,19.92
outline_extraction,ZeroShot,mistralai,Mistral-7B-Instruct-v0.3,dev,54.96
outline_extraction,ZeroShot,mistralai,Mistral-7B-Instruct-v0.3,test,56.36
outline_extraction,ZeroShot,deepseek,deepseek-v3,dev,94.35
outline_extraction,ZeroShot,deepseek,deepseek-v3,test,94.79
outline_extraction,ZeroShot,meta-llama,Llama-3.1-405B-Instruct,dev,9.47
outline_extraction,ZeroShot,meta-llama,Llama-3.1-405B-Instruct,test,13.79
outline_extraction,ZeroShot,meta-llama,Llama-3.2-3B-Instruct,dev,51.04
outline_extraction,ZeroShot,meta-llama,Llama-3.2-3B-Instruct,test,49.4
outline_extraction,ZeroShot,meta-llama,Llama-3.1-70B-Instruct,dev,83.71
outline_extraction,ZeroShot,meta-llama,Llama-3.1-70B-Instruct,test,83.03
outline_extraction,ZeroShot,meta-llama,Meta-Llama-3.1-8B-Instruct,dev,15.55
outline_extraction,ZeroShot,meta-llama,Meta-Llama-3.1-8B-Instruct,test,9.27
outline_extraction,ZeroShot,meta-llama,Llama-3.2-1B-Instruct,dev,23.95
outline_extraction,ZeroShot,meta-llama,Llama-3.2-1B-Instruct,test,27.95
outline_extraction,ZeroShot,internlm,internlm2_5-7b-chat,test,17.66
outline_extraction,ZeroShot,internlm,internlm2_5-7b-chat,dev,9.08
outline_extraction,ZeroShot,microsoft,Phi-3.5-mini-instruct,test,21.18
outline_extraction,ZeroShot,microsoft,Phi-3.5-mini-instruct,dev,20.65
outline_extraction,ZeroShot,Qwen,Qwen2.5-72B-Instruct,dev,83.36
outline_extraction,ZeroShot,Qwen,Qwen2.5-72B-Instruct,test,86.03
outline_extraction,ZeroShot,Qwen,Qwen2.5-32B-Instruct,dev,36.18
outline_extraction,ZeroShot,Qwen,Qwen2.5-32B-Instruct,test,36.68
outline_extraction,ZeroShot,Qwen,Qwen2.5-7B-Instruct,dev,83.98
outline_extraction,ZeroShot,Qwen,Qwen2.5-7B-Instruct,test,85.03
disordered_section,ZeroShot,Qwen,Qwen2.5-3B-Instruct,test,8.59
disordered_section,ZeroShot,Qwen,Qwen2.5-3B-Instruct,dev,10
disordered_section,ZeroShot,Qwen,Qwen2.5-1.5B-Instruct,dev,8.24
disordered_section,ZeroShot,Qwen,Qwen2.5-1.5B-Instruct,test,12.27
disordered_section,FewShot,Qwen,Qwen2.5-0.5B-Instruct,dev,2.35
disordered_section,OneShot,Qwen,Qwen2.5-0.5B-Instruct,test,1.53
disordered_section,FewShot,Qwen,Qwen2.5-0.5B-Instruct,test,3.37
disordered_section,OneShot,Qwen,Qwen2.5-0.5B-Instruct,dev,2.35
contextual_qa,ZeroShot,Qwen,Qwen2.5-3B-Instruct,dev,19.91
contextual_qa,ZeroShot,Qwen,Qwen2.5-3B-Instruct,test,14.04
contextual_qa,ZeroShot,Qwen,Qwen2.5-1.5B-Instruct,test,14.54
contextual_qa,ZeroShot,Qwen,Qwen2.5-1.5B-Instruct,dev,16.74
contextual_qa,OneShot,Qwen,Qwen2.5-0.5B-Instruct,test,10.02
contextual_qa,FewShot,Qwen,Qwen2.5-0.5B-Instruct,dev,6.31
contextual_qa,OneShot,Qwen,Qwen2.5-0.5B-Instruct,dev,8.05
contextual_qa,FewShot,Qwen,Qwen2.5-0.5B-Instruct,test,9.53
outline_extraction,ZeroShot,Qwen,Qwen2.5-3B-Instruct,test,72.93
outline_extraction,ZeroShot,Qwen,Qwen2.5-3B-Instruct,dev,68.81
outline_extraction,ZeroShot,Qwen,Qwen2.5-1.5B-Instruct,test,54.71
outline_extraction,ZeroShot,Qwen,Qwen2.5-1.5B-Instruct,dev,46.74
outline_extraction,OneShot,Qwen,Qwen2.5-0.5B-Instruct,test,3.98
outline_extraction,FewShot,Qwen,Qwen2.5-0.5B-Instruct,test,2.37
outline_extraction,OneShot,Qwen,Qwen2.5-0.5B-Instruct,dev,4.77
outline_extraction,FewShot,Qwen,Qwen2.5-0.5B-Instruct,dev,3.56
disordered_section,ZeroShot,Qwen,Qwen2.5-0.5B-Instruct,test,0.61
disordered_section,ZeroShot,Qwen,Qwen2.5-0.5B-Instruct,dev,0.59
contextual_qa,ZeroShot,Qwen,Qwen2.5-0.5B-Instruct,dev,7.69
contextual_qa,ZeroShot,Qwen,Qwen2.5-0.5B-Instruct,test,10.15
outline_extraction,ZeroShot,Qwen,Qwen2.5-0.5B-Instruct,test,2.81
outline_extraction,ZeroShot,Qwen,Qwen2.5-0.5B-Instruct,dev,2.05
