SubTask,Balance,Difficulty,ExampleType,InputMode,ModelFamily,ModelName,Accuracy
postfix_traversal,balanced,medium,OneShot,edge,meta-llama,Llama-3.2-1B-Instruct,0
postfix_traversal,balanced,easy,OneShot,hierarchy,meta-llama,Llama-3.2-1B-Instruct,4.17
postfix_traversal,unbalanced,easy,ZeroShot,edge,meta-llama,Llama-3.2-1B-Instruct,0
postfix_traversal,unbalanced,hard,OneShot,edge,meta-llama,Llama-3.2-1B-Instruct,0
postfix_traversal,unbalanced,hard,FewShot,hierarchy,meta-llama,Llama-3.2-1B-Instruct,0
postfix_traversal,unbalanced,easy,OneShot,edge,meta-llama,Llama-3.2-1B-Instruct,0
postfix_traversal,unbalanced,easy,ZeroShot,hierarchy,meta-llama,Llama-3.2-1B-Instruct,8.33
postfix_traversal,balanced,medium,ZeroShot,hierarchy,meta-llama,Llama-3.2-1B-Instruct,0
postfix_traversal,balanced,medium,ZeroShot,edge,meta-llama,Llama-3.2-1B-Instruct,3.7
postfix_traversal,balanced,hard,ZeroShot,hierarchy,meta-llama,Llama-3.2-1B-Instruct,0
postfix_traversal,unbalanced,hard,ZeroShot,edge,meta-llama,Llama-3.2-1B-Instruct,0
postfix_traversal,balanced,hard,FewShot,edge,meta-llama,Llama-3.2-1B-Instruct,0
postfix_traversal,balanced,hard,FewShot,hierarchy,meta-llama,Llama-3.2-1B-Instruct,0
postfix_traversal,balanced,easy,ZeroShot,edge,meta-llama,Llama-3.2-1B-Instruct,4.17
postfix_traversal,unbalanced,medium,FewShot,hierarchy,meta-llama,Llama-3.2-1B-Instruct,0
postfix_traversal,unbalanced,medium,ZeroShot,edge,meta-llama,Llama-3.2-1B-Instruct,0
postfix_traversal,unbalanced,easy,OneShot,hierarchy,meta-llama,Llama-3.2-1B-Instruct,0
postfix_traversal,unbalanced,medium,OneShot,hierarchy,meta-llama,Llama-3.2-1B-Instruct,0
postfix_traversal,unbalanced,easy,ZeroShot,edge,meta-llama,Llama-3.1-70B-Instruct,100
postfix_traversal,balanced,easy,ZeroShot,hierarchy,meta-llama,Llama-3.1-70B-Instruct,100
postfix_traversal,unbalanced,medium,ZeroShot,hierarchy,meta-llama,Llama-3.1-70B-Instruct,92.59
postfix_traversal,unbalanced,hard,ZeroShot,edge,meta-llama,Llama-3.1-70B-Instruct,27.78
postfix_traversal,balanced,easy,ZeroShot,edge,meta-llama,Llama-3.1-70B-Instruct,100
postfix_traversal,unbalanced,hard,ZeroShot,hierarchy,meta-llama,Llama-3.1-70B-Instruct,44.44
postfix_traversal,balanced,medium,ZeroShot,edge,meta-llama,Llama-3.1-70B-Instruct,81.48
postfix_traversal,balanced,hard,ZeroShot,edge,meta-llama,Llama-3.1-70B-Instruct,0
postfix_traversal,balanced,medium,ZeroShot,hierarchy,meta-llama,Llama-3.1-70B-Instruct,92.59
postfix_traversal,unbalanced,easy,ZeroShot,hierarchy,meta-llama,Llama-3.1-70B-Instruct,100
postfix_traversal,balanced,hard,ZeroShot,hierarchy,meta-llama,Llama-3.1-70B-Instruct,16.67
postfix_traversal,unbalanced,medium,ZeroShot,edge,meta-llama,Llama-3.1-70B-Instruct,85.19
postfix_traversal,balanced,hard,OneShot,edge,meta-llama,Meta-Llama-3.1-8B-Instruct,0
postfix_traversal,balanced,medium,OneShot,hierarchy,meta-llama,Meta-Llama-3.1-8B-Instruct,0
postfix_traversal,unbalanced,hard,FewShot,hierarchy,meta-llama,Meta-Llama-3.1-8B-Instruct,0
postfix_traversal,balanced,easy,ZeroShot,hierarchy,meta-llama,Meta-Llama-3.1-8B-Instruct,25
postfix_traversal,unbalanced,easy,OneShot,edge,meta-llama,Meta-Llama-3.1-8B-Instruct,0
postfix_traversal,unbalanced,easy,OneShot,hierarchy,meta-llama,Meta-Llama-3.1-8B-Instruct,0
postfix_traversal,balanced,medium,ZeroShot,edge,meta-llama,Meta-Llama-3.1-8B-Instruct,0
postfix_traversal,balanced,hard,FewShot,hierarchy,meta-llama,Meta-Llama-3.1-8B-Instruct,0
postfix_traversal,balanced,medium,FewShot,hierarchy,meta-llama,Meta-Llama-3.1-8B-Instruct,0
postfix_traversal,balanced,medium,FewShot,edge,meta-llama,Meta-Llama-3.1-8B-Instruct,0
postfix_traversal,unbalanced,medium,OneShot,hierarchy,meta-llama,Meta-Llama-3.1-8B-Instruct,0
postfix_traversal,unbalanced,medium,FewShot,edge,meta-llama,Meta-Llama-3.1-8B-Instruct,0
postfix_traversal,unbalanced,medium,ZeroShot,edge,meta-llama,Meta-Llama-3.1-8B-Instruct,18.52
postfix_traversal,balanced,hard,ZeroShot,hierarchy,meta-llama,Meta-Llama-3.1-8B-Instruct,0
postfix_traversal,unbalanced,hard,OneShot,hierarchy,meta-llama,Meta-Llama-3.1-8B-Instruct,0
postfix_traversal,balanced,easy,FewShot,edge,meta-llama,Meta-Llama-3.1-8B-Instruct,4.17
postfix_traversal,balanced,medium,OneShot,edge,meta-llama,Meta-Llama-3.1-8B-Instruct,0
postfix_traversal,balanced,easy,FewShot,hierarchy,meta-llama,Meta-Llama-3.1-8B-Instruct,4.17
postfix_traversal,balanced,easy,ZeroShot,edge,meta-llama,Meta-Llama-3.1-8B-Instruct,25
postfix_traversal,unbalanced,medium,FewShot,hierarchy,meta-llama,Meta-Llama-3.1-8B-Instruct,0
postfix_traversal,unbalanced,easy,ZeroShot,hierarchy,meta-llama,Meta-Llama-3.1-8B-Instruct,41.67
postfix_traversal,unbalanced,easy,FewShot,edge,meta-llama,Meta-Llama-3.1-8B-Instruct,0
postfix_traversal,unbalanced,hard,ZeroShot,edge,meta-llama,Meta-Llama-3.1-8B-Instruct,0
postfix_traversal,unbalanced,hard,FewShot,edge,meta-llama,Meta-Llama-3.1-8B-Instruct,0
postfix_traversal,unbalanced,easy,ZeroShot,edge,meta-llama,Meta-Llama-3.1-8B-Instruct,29.17
postfix_traversal,unbalanced,medium,ZeroShot,hierarchy,meta-llama,Meta-Llama-3.1-8B-Instruct,7.41
postfix_traversal,balanced,easy,OneShot,hierarchy,meta-llama,Meta-Llama-3.1-8B-Instruct,0
postfix_traversal,unbalanced,hard,OneShot,edge,meta-llama,Meta-Llama-3.1-8B-Instruct,0
postfix_traversal,balanced,hard,OneShot,hierarchy,meta-llama,Meta-Llama-3.1-8B-Instruct,0
postfix_traversal,unbalanced,easy,FewShot,hierarchy,meta-llama,Meta-Llama-3.1-8B-Instruct,4.17
postfix_traversal,balanced,hard,FewShot,edge,meta-llama,Meta-Llama-3.1-8B-Instruct,0
postfix_traversal,unbalanced,medium,OneShot,edge,meta-llama,Meta-Llama-3.1-8B-Instruct,0
postfix_traversal,balanced,easy,OneShot,edge,meta-llama,Meta-Llama-3.1-8B-Instruct,0
postfix_traversal,balanced,medium,ZeroShot,hierarchy,meta-llama,Meta-Llama-3.1-8B-Instruct,0
postfix_traversal,unbalanced,hard,ZeroShot,hierarchy,meta-llama,Meta-Llama-3.1-8B-Instruct,0
postfix_traversal,balanced,hard,ZeroShot,edge,meta-llama,Meta-Llama-3.1-8B-Instruct,0
postfix_traversal,balanced,easy,ZeroShot,edge,meta-llama,Llama-3.1-405B-Instruct,100
postfix_traversal,unbalanced,medium,ZeroShot,edge,meta-llama,Llama-3.1-405B-Instruct,92.59
postfix_traversal,unbalanced,easy,ZeroShot,edge,meta-llama,Llama-3.1-405B-Instruct,100
postfix_traversal,balanced,medium,ZeroShot,edge,meta-llama,Llama-3.1-405B-Instruct,81.48
postfix_traversal,balanced,medium,ZeroShot,hierarchy,meta-llama,Llama-3.1-405B-Instruct,92.59
postfix_traversal,balanced,easy,ZeroShot,hierarchy,meta-llama,Llama-3.1-405B-Instruct,100
postfix_traversal,balanced,hard,ZeroShot,edge,meta-llama,Llama-3.1-405B-Instruct,11.11
postfix_traversal,unbalanced,hard,ZeroShot,hierarchy,meta-llama,Llama-3.1-405B-Instruct,38.89
postfix_traversal,balanced,hard,ZeroShot,hierarchy,meta-llama,Llama-3.1-405B-Instruct,22.22
postfix_traversal,unbalanced,hard,ZeroShot,edge,meta-llama,Llama-3.1-405B-Instruct,22.22
postfix_traversal,unbalanced,medium,ZeroShot,hierarchy,meta-llama,Llama-3.1-405B-Instruct,92.59
postfix_traversal,unbalanced,easy,ZeroShot,hierarchy,meta-llama,Llama-3.1-405B-Instruct,100
postfix_traversal,unbalanced,medium,FewShot,edge,meta-llama,Llama-3.2-3B-Instruct,7.41
postfix_traversal,balanced,medium,FewShot,hierarchy,meta-llama,Llama-3.2-3B-Instruct,0
postfix_traversal,balanced,medium,ZeroShot,hierarchy,meta-llama,Llama-3.2-3B-Instruct,7.41
postfix_traversal,unbalanced,easy,FewShot,hierarchy,meta-llama,Llama-3.2-3B-Instruct,12.5
postfix_traversal,balanced,easy,FewShot,edge,meta-llama,Llama-3.2-3B-Instruct,4.17
postfix_traversal,unbalanced,medium,ZeroShot,edge,meta-llama,Llama-3.2-3B-Instruct,14.81
postfix_traversal,balanced,medium,OneShot,hierarchy,meta-llama,Llama-3.2-3B-Instruct,14.81
postfix_traversal,unbalanced,medium,FewShot,hierarchy,meta-llama,Llama-3.2-3B-Instruct,7.41
postfix_traversal,unbalanced,medium,ZeroShot,hierarchy,meta-llama,Llama-3.2-3B-Instruct,37.04
postfix_traversal,balanced,hard,FewShot,edge,meta-llama,Llama-3.2-3B-Instruct,0
postfix_traversal,balanced,easy,OneShot,hierarchy,meta-llama,Llama-3.2-3B-Instruct,20.83
postfix_traversal,balanced,medium,ZeroShot,edge,meta-llama,Llama-3.2-3B-Instruct,22.22
postfix_traversal,balanced,easy,FewShot,hierarchy,meta-llama,Llama-3.2-3B-Instruct,8.33
postfix_traversal,balanced,hard,ZeroShot,edge,meta-llama,Llama-3.2-3B-Instruct,0
postfix_traversal,balanced,easy,ZeroShot,hierarchy,meta-llama,Llama-3.2-3B-Instruct,66.67
postfix_traversal,unbalanced,medium,OneShot,hierarchy,meta-llama,Llama-3.2-3B-Instruct,25.93
postfix_traversal,unbalanced,hard,OneShot,hierarchy,meta-llama,Llama-3.2-3B-Instruct,0
postfix_traversal,balanced,hard,ZeroShot,hierarchy,meta-llama,Llama-3.2-3B-Instruct,0
postfix_traversal,unbalanced,easy,FewShot,edge,meta-llama,Llama-3.2-3B-Instruct,0
postfix_traversal,unbalanced,hard,FewShot,hierarchy,meta-llama,Llama-3.2-3B-Instruct,0
postfix_traversal,unbalanced,easy,OneShot,edge,meta-llama,Llama-3.2-3B-Instruct,50
postfix_traversal,unbalanced,easy,OneShot,hierarchy,meta-llama,Llama-3.2-3B-Instruct,20.83
postfix_traversal,balanced,easy,OneShot,edge,meta-llama,Llama-3.2-3B-Instruct,20.83
postfix_traversal,unbalanced,easy,ZeroShot,edge,meta-llama,Llama-3.2-3B-Instruct,33.33
postfix_traversal,balanced,hard,FewShot,hierarchy,meta-llama,Llama-3.2-3B-Instruct,0
postfix_traversal,unbalanced,hard,OneShot,edge,meta-llama,Llama-3.2-3B-Instruct,0
postfix_traversal,unbalanced,hard,ZeroShot,edge,meta-llama,Llama-3.2-3B-Instruct,0
postfix_traversal,balanced,medium,OneShot,edge,meta-llama,Llama-3.2-3B-Instruct,7.41
postfix_traversal,unbalanced,hard,FewShot,edge,meta-llama,Llama-3.2-3B-Instruct,0
postfix_traversal,unbalanced,hard,ZeroShot,hierarchy,meta-llama,Llama-3.2-3B-Instruct,5.56
postfix_traversal,balanced,easy,ZeroShot,edge,meta-llama,Llama-3.2-3B-Instruct,54.17
postfix_traversal,unbalanced,medium,OneShot,edge,meta-llama,Llama-3.2-3B-Instruct,22.22
postfix_traversal,balanced,hard,OneShot,hierarchy,meta-llama,Llama-3.2-3B-Instruct,0
postfix_traversal,balanced,medium,FewShot,edge,meta-llama,Llama-3.2-3B-Instruct,0
postfix_traversal,unbalanced,easy,ZeroShot,hierarchy,meta-llama,Llama-3.2-3B-Instruct,62.5
postfix_traversal,balanced,hard,OneShot,edge,meta-llama,Llama-3.2-3B-Instruct,0
postfix_traversal,unbalanced,easy,ZeroShot,hierarchy,internlm,internlm2_5-7b-chat,54.17
postfix_traversal,balanced,medium,ZeroShot,hierarchy,internlm,internlm2_5-7b-chat,7.41
postfix_traversal,unbalanced,hard,ZeroShot,hierarchy,internlm,internlm2_5-7b-chat,5.56
postfix_traversal,balanced,easy,ZeroShot,hierarchy,internlm,internlm2_5-7b-chat,41.67
postfix_traversal,balanced,easy,ZeroShot,edge,internlm,internlm2_5-7b-chat,75
postfix_traversal,balanced,hard,ZeroShot,hierarchy,internlm,internlm2_5-7b-chat,0
postfix_traversal,unbalanced,medium,ZeroShot,hierarchy,internlm,internlm2_5-7b-chat,33.33
postfix_traversal,unbalanced,hard,ZeroShot,edge,internlm,internlm2_5-7b-chat,11.11
postfix_traversal,unbalanced,medium,ZeroShot,edge,internlm,internlm2_5-7b-chat,25.93
postfix_traversal,balanced,medium,ZeroShot,edge,internlm,internlm2_5-7b-chat,14.81
postfix_traversal,unbalanced,easy,ZeroShot,edge,internlm,internlm2_5-7b-chat,75
postfix_traversal,balanced,hard,ZeroShot,edge,internlm,internlm2_5-7b-chat,0
postfix_traversal,balanced,medium,OneShot,hierarchy,openai,gpt-3.5-turbo,25.93
postfix_traversal,unbalanced,hard,ZeroShot,hierarchy,openai,gpt-3.5-turbo,5.56
postfix_traversal,balanced,easy,ZeroShot,edge,openai,gpt-3.5-turbo,95.83
postfix_traversal,balanced,hard,ZeroShot,hierarchy,openai,gpt-3.5-turbo,0
postfix_traversal,balanced,easy,OneShot,edge,openai,gpt-3.5-turbo,83.33
postfix_traversal,balanced,hard,OneShot,hierarchy,openai,gpt-3.5-turbo,0
postfix_traversal,unbalanced,hard,OneShot,hierarchy,openai,gpt-3.5-turbo,5.56
postfix_traversal,unbalanced,medium,ZeroShot,edge,openai,gpt-3.5-turbo,44.44
postfix_traversal,balanced,hard,ZeroShot,edge,openai,gpt-3.5-turbo,0
postfix_traversal,unbalanced,easy,FewShot,hierarchy,openai,gpt-3.5-turbo,87.5
postfix_traversal,unbalanced,medium,FewShot,hierarchy,openai,gpt-3.5-turbo,51.85
postfix_traversal,balanced,easy,OneShot,hierarchy,openai,gpt-3.5-turbo,91.67
postfix_traversal,balanced,medium,FewShot,edge,openai,gpt-3.5-turbo,7.41
postfix_traversal,unbalanced,medium,OneShot,edge,openai,gpt-3.5-turbo,29.63
postfix_traversal,unbalanced,hard,FewShot,edge,openai,gpt-3.5-turbo,0
postfix_traversal,unbalanced,medium,FewShot,edge,openai,gpt-3.5-turbo,29.63
postfix_traversal,balanced,hard,FewShot,hierarchy,openai,gpt-3.5-turbo,0
postfix_traversal,unbalanced,hard,OneShot,edge,openai,gpt-3.5-turbo,0
postfix_traversal,balanced,medium,FewShot,hierarchy,openai,gpt-3.5-turbo,22.22
postfix_traversal,unbalanced,hard,ZeroShot,edge,openai,gpt-3.5-turbo,5.56
postfix_traversal,unbalanced,medium,OneShot,hierarchy,openai,gpt-3.5-turbo,48.15
postfix_traversal,balanced,medium,ZeroShot,edge,openai,gpt-3.5-turbo,7.41
postfix_traversal,unbalanced,easy,ZeroShot,edge,openai,gpt-3.5-turbo,100
