SubTask,Difficulty,ExampleType,InputMode,ModelFamily,ModelName,Accuracy
leaf,easy,ZeroShot,edge,mistralai,Mistral-7B-Instruct-v0.3,54.55
leaf,easy,ZeroShot,hierarchy,mistralai,Mistral-7B-Instruct-v0.3,45.45
leaf,medium,ZeroShot,hierarchy,mistralai,Mistral-7B-Instruct-v0.3,40.28
leaf,medium,ZeroShot,edge,mistralai,Mistral-7B-Instruct-v0.3,48.61
leaf,hard,ZeroShot,edge,mistralai,Mistral-7B-Instruct-v0.3,38.89
leaf,hard,ZeroShot,hierarchy,mistralai,Mistral-7B-Instruct-v0.3,38.89
leaf,hard,FewShot,hierarchy,openai,gpt-4-turbo,100
leaf,hard,OneShot,hierarchy,openai,gpt-4-turbo,94.44
leaf,medium,ZeroShot,edge,openai,gpt-4-turbo,97.22
leaf,medium,FewShot,hierarchy,openai,gpt-4-turbo,100
leaf,easy,ZeroShot,hierarchy,openai,gpt-4-turbo,100
leaf,medium,OneShot,edge,openai,gpt-4-turbo,97.22
leaf,easy,OneShot,edge,openai,gpt-4-turbo,96.97
leaf,hard,ZeroShot,hierarchy,openai,gpt-4-turbo,98.61
leaf,easy,ZeroShot,edge,openai,gpt-4-turbo,90.91
leaf,hard,FewShot,edge,openai,gpt-4-turbo,100
leaf,medium,FewShot,edge,openai,gpt-4-turbo,98.61
leaf,easy,OneShot,hierarchy,openai,gpt-4-turbo,96.97
leaf,hard,ZeroShot,edge,openai,gpt-4-turbo,94.44
leaf,hard,OneShot,edge,openai,gpt-4-turbo,95.83
leaf,medium,ZeroShot,hierarchy,openai,gpt-4-turbo,97.22
leaf,easy,FewShot,edge,openai,gpt-4-turbo,100
leaf,medium,OneShot,hierarchy,openai,gpt-4-turbo,100
leaf,easy,FewShot,hierarchy,openai,gpt-4-turbo,100
leaf,hard,ZeroShot,hierarchy,deepseek,deepseek-v3,98.61
leaf,medium,ZeroShot,edge,deepseek,deepseek-v3,100
leaf,easy,ZeroShot,edge,deepseek,deepseek-v3,100
leaf,easy,ZeroShot,hierarchy,deepseek,deepseek-v3,100
leaf,hard,ZeroShot,edge,deepseek,deepseek-v3,100
leaf,medium,ZeroShot,hierarchy,deepseek,deepseek-v3,100
leaf,hard,FewShot,hierarchy,meta-llama,Llama-3.2-1B-Instruct,62.5
leaf,medium,FewShot,hierarchy,meta-llama,Llama-3.2-1B-Instruct,59.72
leaf,easy,OneShot,edge,meta-llama,Llama-3.2-1B-Instruct,57.58
leaf,easy,FewShot,hierarchy,meta-llama,Llama-3.2-1B-Instruct,54.55
leaf,easy,ZeroShot,edge,meta-llama,Llama-3.2-1B-Instruct,45.45
leaf,medium,OneShot,hierarchy,meta-llama,Llama-3.2-1B-Instruct,59.72
leaf,medium,FewShot,edge,meta-llama,Llama-3.2-1B-Instruct,52.78
leaf,medium,ZeroShot,edge,meta-llama,Llama-3.2-1B-Instruct,37.5
leaf,hard,ZeroShot,hierarchy,meta-llama,Llama-3.2-1B-Instruct,51.39
leaf,easy,OneShot,hierarchy,meta-llama,Llama-3.2-1B-Instruct,45.45
leaf,hard,OneShot,edge,meta-llama,Llama-3.2-1B-Instruct,66.67
leaf,easy,FewShot,edge,meta-llama,Llama-3.2-1B-Instruct,48.48
leaf,hard,ZeroShot,edge,meta-llama,Llama-3.2-1B-Instruct,38.89
leaf,medium,OneShot,edge,meta-llama,Llama-3.2-1B-Instruct,61.11
leaf,medium,ZeroShot,hierarchy,meta-llama,Llama-3.2-1B-Instruct,51.39
leaf,hard,FewShot,edge,meta-llama,Llama-3.2-1B-Instruct,59.72
leaf,hard,OneShot,hierarchy,meta-llama,Llama-3.2-1B-Instruct,63.89
leaf,easy,ZeroShot,hierarchy,meta-llama,Llama-3.2-1B-Instruct,54.55
leaf,easy,ZeroShot,edge,meta-llama,Llama-3.1-70B-Instruct,93.94
leaf,medium,ZeroShot,hierarchy,meta-llama,Llama-3.1-70B-Instruct,91.67
leaf,hard,ZeroShot,hierarchy,meta-llama,Llama-3.1-70B-Instruct,90.28
leaf,hard,ZeroShot,edge,meta-llama,Llama-3.1-70B-Instruct,97.22
leaf,medium,ZeroShot,edge,meta-llama,Llama-3.1-70B-Instruct,98.61
leaf,easy,ZeroShot,hierarchy,meta-llama,Llama-3.1-70B-Instruct,96.97
leaf,hard,ZeroShot,hierarchy,meta-llama,Meta-Llama-3.1-8B-Instruct,51.39
leaf,hard,ZeroShot,edge,meta-llama,Meta-Llama-3.1-8B-Instruct,61.11
leaf,easy,OneShot,hierarchy,meta-llama,Meta-Llama-3.1-8B-Instruct,15.15
leaf,easy,ZeroShot,edge,meta-llama,Meta-Llama-3.1-8B-Instruct,42.42
leaf,easy,ZeroShot,hierarchy,meta-llama,Meta-Llama-3.1-8B-Instruct,54.55
leaf,hard,FewShot,hierarchy,meta-llama,Meta-Llama-3.1-8B-Instruct,37.5
leaf,medium,OneShot,edge,meta-llama,Meta-Llama-3.1-8B-Instruct,16.67
leaf,medium,ZeroShot,edge,meta-llama,Meta-Llama-3.1-8B-Instruct,65.28
leaf,hard,FewShot,edge,meta-llama,Meta-Llama-3.1-8B-Instruct,41.67
leaf,hard,OneShot,edge,meta-llama,Meta-Llama-3.1-8B-Instruct,16.67
leaf,easy,FewShot,hierarchy,meta-llama,Meta-Llama-3.1-8B-Instruct,39.39
leaf,hard,OneShot,hierarchy,meta-llama,Meta-Llama-3.1-8B-Instruct,18.06
leaf,medium,ZeroShot,hierarchy,meta-llama,Meta-Llama-3.1-8B-Instruct,58.33
leaf,medium,FewShot,hierarchy,meta-llama,Meta-Llama-3.1-8B-Instruct,23.61
leaf,easy,FewShot,edge,meta-llama,Meta-Llama-3.1-8B-Instruct,54.55
leaf,easy,OneShot,edge,meta-llama,Meta-Llama-3.1-8B-Instruct,15.15
leaf,medium,OneShot,hierarchy,meta-llama,Meta-Llama-3.1-8B-Instruct,23.61
leaf,medium,FewShot,edge,meta-llama,Meta-Llama-3.1-8B-Instruct,62.5
leaf,easy,ZeroShot,hierarchy,meta-llama,Llama-3.1-405B-Instruct,100
leaf,hard,ZeroShot,edge,meta-llama,Llama-3.1-405B-Instruct,100
leaf,medium,ZeroShot,hierarchy,meta-llama,Llama-3.1-405B-Instruct,100
leaf,hard,ZeroShot,hierarchy,meta-llama,Llama-3.1-405B-Instruct,100
leaf,easy,ZeroShot,edge,meta-llama,Llama-3.1-405B-Instruct,100
leaf,medium,ZeroShot,edge,meta-llama,Llama-3.1-405B-Instruct,100
leaf,hard,FewShot,hierarchy,meta-llama,Llama-3.2-3B-Instruct,54.17
leaf,easy,ZeroShot,edge,meta-llama,Llama-3.2-3B-Instruct,45.45
leaf,medium,FewShot,edge,meta-llama,Llama-3.2-3B-Instruct,54.17
leaf,easy,OneShot,edge,meta-llama,Llama-3.2-3B-Instruct,66.67
leaf,hard,OneShot,hierarchy,meta-llama,Llama-3.2-3B-Instruct,62.5
leaf,hard,ZeroShot,edge,meta-llama,Llama-3.2-3B-Instruct,48.61
leaf,medium,ZeroShot,edge,meta-llama,Llama-3.2-3B-Instruct,59.72
leaf,hard,OneShot,edge,meta-llama,Llama-3.2-3B-Instruct,50
leaf,hard,FewShot,edge,meta-llama,Llama-3.2-3B-Instruct,56.94
leaf,easy,OneShot,hierarchy,meta-llama,Llama-3.2-3B-Instruct,54.55
leaf,medium,OneShot,hierarchy,meta-llama,Llama-3.2-3B-Instruct,59.72
leaf,hard,ZeroShot,hierarchy,meta-llama,Llama-3.2-3B-Instruct,62.5
leaf,medium,OneShot,edge,meta-llama,Llama-3.2-3B-Instruct,37.5
leaf,easy,FewShot,edge,meta-llama,Llama-3.2-3B-Instruct,51.52
leaf,easy,ZeroShot,hierarchy,meta-llama,Llama-3.2-3B-Instruct,69.7
leaf,medium,FewShot,hierarchy,meta-llama,Llama-3.2-3B-Instruct,48.61
leaf,easy,FewShot,hierarchy,meta-llama,Llama-3.2-3B-Instruct,39.39
leaf,medium,ZeroShot,hierarchy,meta-llama,Llama-3.2-3B-Instruct,62.5
leaf,medium,ZeroShot,edge,internlm,internlm2_5-7b-chat,62.5
leaf,easy,ZeroShot,edge,internlm,internlm2_5-7b-chat,63.64
leaf,easy,ZeroShot,hierarchy,internlm,internlm2_5-7b-chat,75.76
leaf,hard,ZeroShot,hierarchy,internlm,internlm2_5-7b-chat,51.39
leaf,medium,ZeroShot,hierarchy,internlm,internlm2_5-7b-chat,65.28
leaf,hard,ZeroShot,edge,internlm,internlm2_5-7b-chat,66.67
leaf,easy,OneShot,hierarchy,openai,gpt-3.5-turbo,87.88
leaf,medium,OneShot,edge,openai,gpt-3.5-turbo,83.33
leaf,medium,ZeroShot,hierarchy,openai,gpt-3.5-turbo,95.83
leaf,medium,FewShot,hierarchy,openai,gpt-3.5-turbo,84.72
leaf,hard,FewShot,edge,openai,gpt-3.5-turbo,86.11
leaf,medium,FewShot,edge,openai,gpt-3.5-turbo,91.67
leaf,easy,OneShot,edge,openai,gpt-3.5-turbo,81.82
leaf,hard,ZeroShot,hierarchy,openai,gpt-3.5-turbo,83.33
leaf,medium,OneShot,hierarchy,openai,gpt-3.5-turbo,86.11
leaf,easy,FewShot,hierarchy,openai,gpt-3.5-turbo,78.79
leaf,medium,ZeroShot,edge,openai,gpt-3.5-turbo,93.06
leaf,easy,ZeroShot,edge,openai,gpt-3.5-turbo,93.94
leaf,hard,FewShot,hierarchy,openai,gpt-3.5-turbo,84.72
leaf,hard,ZeroShot,edge,openai,gpt-3.5-turbo,90.28
leaf,easy,ZeroShot,hierarchy,openai,gpt-3.5-turbo,93.94
leaf,hard,OneShot,hierarchy,openai,gpt-3.5-turbo,80.56
leaf,easy,FewShot,edge,openai,gpt-3.5-turbo,90.91
leaf,hard,OneShot,edge,openai,gpt-3.5-turbo,76.39
leaf,easy,ZeroShot,edge,microsoft,Phi-3.5-mini-instruct,54.55
leaf,easy,ZeroShot,hierarchy,microsoft,Phi-3.5-mini-instruct,75.76
leaf,medium,ZeroShot,edge,microsoft,Phi-3.5-mini-instruct,62.5
leaf,medium,ZeroShot,hierarchy,microsoft,Phi-3.5-mini-instruct,63.89
leaf,hard,ZeroShot,edge,microsoft,Phi-3.5-mini-instruct,48.61
leaf,hard,ZeroShot,hierarchy,microsoft,Phi-3.5-mini-instruct,62.5
leaf,hard,ZeroShot,edge,Qwen,Qwen2.5-32B-Instruct,86.11
leaf,hard,ZeroShot,hierarchy,Qwen,Qwen2.5-32B-Instruct,73.61
leaf,medium,ZeroShot,edge,Qwen,Qwen2.5-32B-Instruct,86.11
leaf,medium,ZeroShot,hierarchy,Qwen,Qwen2.5-32B-Instruct,80.56
leaf,easy,ZeroShot,edge,Qwen,Qwen2.5-32B-Instruct,84.85
leaf,easy,ZeroShot,hierarchy,Qwen,Qwen2.5-32B-Instruct,90.91
leaf,easy,ZeroShot,hierarchy,Qwen,Qwen2.5-3B-Instruct,54.55
leaf,hard,OneShot,edge,Qwen,Qwen2.5-3B-Instruct,41.67
leaf,easy,FewShot,edge,Qwen,Qwen2.5-3B-Instruct,60.61
leaf,medium,FewShot,hierarchy,Qwen,Qwen2.5-3B-Instruct,52.78
leaf,medium,OneShot,edge,Qwen,Qwen2.5-3B-Instruct,55.56
leaf,hard,ZeroShot,edge,Qwen,Qwen2.5-3B-Instruct,37.5
leaf,easy,OneShot,edge,Qwen,Qwen2.5-3B-Instruct,63.64
leaf,medium,ZeroShot,hierarchy,Qwen,Qwen2.5-3B-Instruct,68.06
leaf,medium,OneShot,hierarchy,Qwen,Qwen2.5-3B-Instruct,48.61
leaf,hard,ZeroShot,hierarchy,Qwen,Qwen2.5-3B-Instruct,61.11
leaf,hard,OneShot,hierarchy,Qwen,Qwen2.5-3B-Instruct,38.89
leaf,easy,OneShot,hierarchy,Qwen,Qwen2.5-3B-Instruct,57.58
leaf,easy,FewShot,hierarchy,Qwen,Qwen2.5-3B-Instruct,51.52
leaf,medium,ZeroShot,edge,Qwen,Qwen2.5-3B-Instruct,45.83
leaf,hard,FewShot,edge,Qwen,Qwen2.5-3B-Instruct,40.28
leaf,hard,FewShot,hierarchy,Qwen,Qwen2.5-3B-Instruct,41.67
leaf,medium,FewShot,edge,Qwen,Qwen2.5-3B-Instruct,55.56
leaf,easy,ZeroShot,edge,Qwen,Qwen2.5-3B-Instruct,39.39
leaf,hard,OneShot,edge,Qwen,Qwen2.5-1.5B-Instruct,48.61
leaf,medium,FewShot,hierarchy,Qwen,Qwen2.5-1.5B-Instruct,43.06
leaf,hard,FewShot,hierarchy,Qwen,Qwen2.5-1.5B-Instruct,51.39
leaf,hard,FewShot,edge,Qwen,Qwen2.5-1.5B-Instruct,54.17
leaf,hard,ZeroShot,hierarchy,Qwen,Qwen2.5-1.5B-Instruct,54.17
leaf,medium,OneShot,edge,Qwen,Qwen2.5-1.5B-Instruct,48.61
leaf,easy,ZeroShot,hierarchy,Qwen,Qwen2.5-1.5B-Instruct,54.55
leaf,easy,OneShot,hierarchy,Qwen,Qwen2.5-1.5B-Instruct,45.45
leaf,easy,ZeroShot,edge,Qwen,Qwen2.5-1.5B-Instruct,39.39
leaf,medium,ZeroShot,edge,Qwen,Qwen2.5-1.5B-Instruct,38.89
leaf,medium,OneShot,hierarchy,Qwen,Qwen2.5-1.5B-Instruct,55.56
leaf,easy,OneShot,edge,Qwen,Qwen2.5-1.5B-Instruct,54.55
leaf,easy,FewShot,hierarchy,Qwen,Qwen2.5-1.5B-Instruct,51.52
leaf,hard,OneShot,hierarchy,Qwen,Qwen2.5-1.5B-Instruct,50
leaf,easy,FewShot,edge,Qwen,Qwen2.5-1.5B-Instruct,42.42
leaf,hard,ZeroShot,edge,Qwen,Qwen2.5-1.5B-Instruct,43.06
leaf,medium,ZeroShot,hierarchy,Qwen,Qwen2.5-1.5B-Instruct,52.78
leaf,medium,FewShot,edge,Qwen,Qwen2.5-1.5B-Instruct,48.61
leaf,medium,ZeroShot,edge,Qwen,Qwen2.5-72B-Instruct,95.83
leaf,easy,ZeroShot,hierarchy,Qwen,Qwen2.5-72B-Instruct,96.97
leaf,easy,ZeroShot,edge,Qwen,Qwen2.5-72B-Instruct,100
leaf,hard,ZeroShot,hierarchy,Qwen,Qwen2.5-72B-Instruct,81.94
leaf,hard,ZeroShot,edge,Qwen,Qwen2.5-72B-Instruct,98.61
leaf,medium,ZeroShot,hierarchy,Qwen,Qwen2.5-72B-Instruct,91.67
leaf,medium,ZeroShot,hierarchy,Qwen,Qwen2.5-7B-Instruct,50
leaf,medium,FewShot,hierarchy,Qwen,Qwen2.5-7B-Instruct,73.61
leaf,hard,OneShot,hierarchy,Qwen,Qwen2.5-7B-Instruct,56.94
leaf,hard,ZeroShot,edge,Qwen,Qwen2.5-7B-Instruct,52.78
leaf,hard,FewShot,hierarchy,Qwen,Qwen2.5-7B-Instruct,69.44
leaf,easy,OneShot,hierarchy,Qwen,Qwen2.5-7B-Instruct,66.67
leaf,hard,OneShot,edge,Qwen,Qwen2.5-7B-Instruct,55.56
leaf,easy,FewShot,edge,Qwen,Qwen2.5-7B-Instruct,69.7
leaf,easy,ZeroShot,edge,Qwen,Qwen2.5-7B-Instruct,45.45
leaf,hard,ZeroShot,hierarchy,Qwen,Qwen2.5-7B-Instruct,52.78
leaf,hard,FewShot,edge,Qwen,Qwen2.5-7B-Instruct,73.61
leaf,easy,ZeroShot,hierarchy,Qwen,Qwen2.5-7B-Instruct,57.58
leaf,medium,OneShot,edge,Qwen,Qwen2.5-7B-Instruct,65.28
leaf,medium,FewShot,edge,Qwen,Qwen2.5-7B-Instruct,72.22
leaf,medium,ZeroShot,edge,Qwen,Qwen2.5-7B-Instruct,65.28
leaf,easy,FewShot,hierarchy,Qwen,Qwen2.5-7B-Instruct,78.79
leaf,easy,OneShot,edge,Qwen,Qwen2.5-7B-Instruct,69.7
leaf,medium,OneShot,hierarchy,Qwen,Qwen2.5-7B-Instruct,66.67
leaf,hard,ZeroShot,edge,Qwen,Qwen2.5-0.5B-Instruct,44.44
leaf,hard,OneShot,edge,Qwen,Qwen2.5-0.5B-Instruct,41.67
leaf,medium,OneShot,hierarchy,Qwen,Qwen2.5-0.5B-Instruct,41.67
leaf,easy,OneShot,hierarchy,Qwen,Qwen2.5-0.5B-Instruct,42.42
leaf,hard,ZeroShot,hierarchy,Qwen,Qwen2.5-0.5B-Instruct,40.28
leaf,medium,FewShot,hierarchy,Qwen,Qwen2.5-0.5B-Instruct,44.44
leaf,easy,FewShot,edge,Qwen,Qwen2.5-0.5B-Instruct,42.42
leaf,medium,FewShot,edge,Qwen,Qwen2.5-0.5B-Instruct,52.78
leaf,easy,ZeroShot,edge,Qwen,Qwen2.5-0.5B-Instruct,39.39
leaf,easy,ZeroShot,hierarchy,Qwen,Qwen2.5-0.5B-Instruct,45.45
leaf,easy,OneShot,edge,Qwen,Qwen2.5-0.5B-Instruct,51.52
leaf,medium,ZeroShot,hierarchy,Qwen,Qwen2.5-0.5B-Instruct,45.83
leaf,hard,FewShot,edge,Qwen,Qwen2.5-0.5B-Instruct,37.5
leaf,medium,ZeroShot,edge,Qwen,Qwen2.5-0.5B-Instruct,34.72
leaf,hard,OneShot,hierarchy,Qwen,Qwen2.5-0.5B-Instruct,38.89
leaf,hard,FewShot,hierarchy,Qwen,Qwen2.5-0.5B-Instruct,41.67
leaf,easy,FewShot,hierarchy,Qwen,Qwen2.5-0.5B-Instruct,45.45
leaf,medium,OneShot,edge,Qwen,Qwen2.5-0.5B-Instruct,45.83
remove_node,hard,ZeroShot,hierarchy,baichuan-inc,Baichuan-7B,0
remove_node,easy,ZeroShot,hierarchy,baichuan-inc,Baichuan-7B,0
remove_node,medium,ZeroShot,hierarchy,baichuan-inc,Baichuan-7B,0
remove_node,hard,ZeroShot,edge,baichuan-inc,Baichuan-7B,0
remove_node,medium,ZeroShot,edge,baichuan-inc,Baichuan-7B,0
remove_node,easy,ZeroShot,edge,baichuan-inc,Baichuan-7B,0
remove_node,medium,FewShot,edge,THUDM,glm-4-9b-chat,62.5
remove_node,hard,FewShot,edge,THUDM,glm-4-9b-chat,51.39
remove_node,easy,OneShot,edge,THUDM,glm-4-9b-chat,48.48
remove_node,medium,ZeroShot,hierarchy,THUDM,glm-4-9b-chat,15.28
remove_node,medium,FewShot,hierarchy,THUDM,glm-4-9b-chat,61.11
remove_node,medium,OneShot,edge,THUDM,glm-4-9b-chat,63.89
remove_node,easy,FewShot,edge,THUDM,glm-4-9b-chat,60.61
remove_node,easy,ZeroShot,edge,THUDM,glm-4-9b-chat,36.36
remove_node,hard,ZeroShot,edge,THUDM,glm-4-9b-chat,12.5
remove_node,hard,OneShot,edge,THUDM,glm-4-9b-chat,51.39
remove_node,medium,OneShot,hierarchy,THUDM,glm-4-9b-chat,50
remove_node,easy,ZeroShot,hierarchy,THUDM,glm-4-9b-chat,24.24
remove_node,easy,OneShot,hierarchy,THUDM,glm-4-9b-chat,39.39
remove_node,hard,FewShot,hierarchy,THUDM,glm-4-9b-chat,44.44
remove_node,medium,ZeroShot,edge,THUDM,glm-4-9b-chat,27.78
remove_node,hard,OneShot,hierarchy,THUDM,glm-4-9b-chat,31.94
remove_node,easy,FewShot,hierarchy,THUDM,glm-4-9b-chat,66.67
remove_node,hard,ZeroShot,hierarchy,THUDM,glm-4-9b-chat,8.33
remove_node,easy,ZeroShot,hierarchy,01-ai,Yi-1.5-9B-Chat,33.33
remove_node,easy,ZeroShot,edge,01-ai,Yi-1.5-9B-Chat,51.52
remove_node,medium,ZeroShot,edge,01-ai,Yi-1.5-9B-Chat,47.22
remove_node,hard,ZeroShot,hierarchy,01-ai,Yi-1.5-9B-Chat,18.06
remove_node,medium,ZeroShot,hierarchy,01-ai,Yi-1.5-9B-Chat,29.17
remove_node,hard,ZeroShot,edge,01-ai,Yi-1.5-9B-Chat,33.33
remove_node,hard,ZeroShot,hierarchy,mistralai,Mistral-7B-Instruct-v0.3,4.17
remove_node,easy,ZeroShot,edge,mistralai,Mistral-7B-Instruct-v0.3,27.27
remove_node,medium,ZeroShot,edge,mistralai,Mistral-7B-Instruct-v0.3,12.5
remove_node,easy,ZeroShot,hierarchy,mistralai,Mistral-7B-Instruct-v0.3,6.06
remove_node,hard,ZeroShot,edge,mistralai,Mistral-7B-Instruct-v0.3,4.17
remove_node,medium,ZeroShot,hierarchy,mistralai,Mistral-7B-Instruct-v0.3,8.33
remove_node,hard,ZeroShot,edge,openai,gpt-4-turbo,76.39
remove_node,medium,OneShot,hierarchy,openai,gpt-4-turbo,76.39
remove_node,medium,FewShot,hierarchy,openai,gpt-4-turbo,69.44
remove_node,hard,OneShot,edge,openai,gpt-4-turbo,84.72
remove_node,easy,FewShot,edge,openai,gpt-4-turbo,60.61
remove_node,hard,FewShot,edge,openai,gpt-4-turbo,73.61
remove_node,easy,FewShot,hierarchy,openai,gpt-4-turbo,51.52
remove_node,medium,OneShot,edge,openai,gpt-4-turbo,88.89
remove_node,medium,ZeroShot,edge,openai,gpt-4-turbo,63.89
remove_node,medium,ZeroShot,hierarchy,openai,gpt-4-turbo,59.72
remove_node,easy,OneShot,hierarchy,openai,gpt-4-turbo,66.67
remove_node,easy,OneShot,edge,openai,gpt-4-turbo,69.7
remove_node,easy,ZeroShot,edge,openai,gpt-4-turbo,63.64
remove_node,medium,FewShot,edge,openai,gpt-4-turbo,73.61
remove_node,hard,OneShot,hierarchy,openai,gpt-4-turbo,66.67
remove_node,hard,FewShot,hierarchy,openai,gpt-4-turbo,63.89
remove_node,easy,ZeroShot,hierarchy,openai,gpt-4-turbo,51.52
remove_node,hard,ZeroShot,hierarchy,openai,gpt-4-turbo,65.28
remove_node,medium,ZeroShot,hierarchy,deepseek,deepseek-v3,68.06
remove_node,medium,ZeroShot,edge,deepseek,deepseek-v3,65.28
remove_node,easy,ZeroShot,edge,deepseek,deepseek-v3,60.61
remove_node,hard,ZeroShot,hierarchy,deepseek,deepseek-v3,63.89
remove_node,easy,ZeroShot,hierarchy,deepseek,deepseek-v3,57.58
remove_node,hard,ZeroShot,edge,deepseek,deepseek-v3,72.22
remove_node,easy,FewShot,hierarchy,meta-llama,Llama-3.2-1B-Instruct,18.18
remove_node,hard,FewShot,hierarchy,meta-llama,Llama-3.2-1B-Instruct,2.78
remove_node,easy,OneShot,edge,meta-llama,Llama-3.2-1B-Instruct,6.06
remove_node,easy,OneShot,hierarchy,meta-llama,Llama-3.2-1B-Instruct,9.09
remove_node,hard,OneShot,edge,meta-llama,Llama-3.2-1B-Instruct,2.78
remove_node,easy,ZeroShot,hierarchy,meta-llama,Llama-3.2-1B-Instruct,3.03
remove_node,medium,ZeroShot,hierarchy,meta-llama,Llama-3.2-1B-Instruct,1.39
remove_node,hard,OneShot,hierarchy,meta-llama,Llama-3.2-1B-Instruct,2.78
remove_node,hard,ZeroShot,hierarchy,meta-llama,Llama-3.2-1B-Instruct,2.78
remove_node,medium,OneShot,edge,meta-llama,Llama-3.2-1B-Instruct,5.56
remove_node,medium,FewShot,hierarchy,meta-llama,Llama-3.2-1B-Instruct,8.33
remove_node,medium,FewShot,edge,meta-llama,Llama-3.2-1B-Instruct,5.56
remove_node,medium,ZeroShot,edge,meta-llama,Llama-3.2-1B-Instruct,5.56
remove_node,hard,ZeroShot,edge,meta-llama,Llama-3.2-1B-Instruct,0
remove_node,easy,ZeroShot,edge,meta-llama,Llama-3.2-1B-Instruct,6.06
remove_node,easy,FewShot,edge,meta-llama,Llama-3.2-1B-Instruct,6.06
remove_node,medium,OneShot,hierarchy,meta-llama,Llama-3.2-1B-Instruct,5.56
remove_node,hard,FewShot,edge,meta-llama,Llama-3.2-1B-Instruct,2.78
remove_node,hard,ZeroShot,edge,meta-llama,Llama-3.1-70B-Instruct,68.06
remove_node,hard,ZeroShot,hierarchy,meta-llama,Llama-3.1-70B-Instruct,43.06
remove_node,easy,ZeroShot,edge,meta-llama,Llama-3.1-70B-Instruct,72.73
remove_node,easy,ZeroShot,hierarchy,meta-llama,Llama-3.1-70B-Instruct,24.24
remove_node,medium,ZeroShot,hierarchy,meta-llama,Llama-3.1-70B-Instruct,50
remove_node,medium,ZeroShot,edge,meta-llama,Llama-3.1-70B-Instruct,84.72
remove_node,hard,OneShot,hierarchy,meta-llama,Meta-Llama-3.1-8B-Instruct,2.78
remove_node,easy,ZeroShot,hierarchy,meta-llama,Meta-Llama-3.1-8B-Instruct,6.06
remove_node,hard,ZeroShot,edge,meta-llama,Meta-Llama-3.1-8B-Instruct,2.78
remove_node,easy,OneShot,hierarchy,meta-llama,Meta-Llama-3.1-8B-Instruct,6.06
remove_node,medium,OneShot,edge,meta-llama,Meta-Llama-3.1-8B-Instruct,8.33
remove_node,hard,FewShot,hierarchy,meta-llama,Meta-Llama-3.1-8B-Instruct,1.39
remove_node,medium,FewShot,hierarchy,meta-llama,Meta-Llama-3.1-8B-Instruct,1.39
remove_node,easy,FewShot,hierarchy,meta-llama,Meta-Llama-3.1-8B-Instruct,0
remove_node,hard,OneShot,edge,meta-llama,Meta-Llama-3.1-8B-Instruct,4.17
remove_node,medium,ZeroShot,hierarchy,meta-llama,Meta-Llama-3.1-8B-Instruct,6.94
remove_node,hard,ZeroShot,hierarchy,meta-llama,Meta-Llama-3.1-8B-Instruct,5.56
remove_node,easy,FewShot,edge,meta-llama,Meta-Llama-3.1-8B-Instruct,9.09
remove_node,medium,FewShot,edge,meta-llama,Meta-Llama-3.1-8B-Instruct,8.33
