SubTask,ExampleType,Format,Length,ModelFamily,ModelName,Symbol,Value,Accuracy
convert,ZeroShot,format1_postfix_format2_infix,medium,baichuan-inc,Baichuan-7B,hard,hard,0
convert,ZeroShot,format1_postfix_format2_infix,medium,baichuan-inc,Baichuan-7B,easy,hard,0
convert,ZeroShot,format1_infix_format2_postfix,medium,baichuan-inc,Baichuan-7B,medium,easy,0
convert,ZeroShot,format1_postfix_format2_infix,hard,baichuan-inc,Baichuan-7B,medium,medium,0
convert,ZeroShot,format1_postfix_format2_prefix,hard,baichuan-inc,Baichuan-7B,medium,medium,0
convert,ZeroShot,format1_prefix_format2_postfix,easy,baichuan-inc,Baichuan-7B,hard,medium,0
convert,ZeroShot,format1_prefix_format2_postfix,medium,baichuan-inc,Baichuan-7B,hard,easy,0
convert,ZeroShot,format1_infix_format2_postfix,easy,baichuan-inc,Baichuan-7B,easy,easy,0
convert,ZeroShot,format1_postfix_format2_prefix,hard,baichuan-inc,Baichuan-7B,easy,hard,0
convert,ZeroShot,format1_infix_format2_postfix,easy,baichuan-inc,Baichuan-7B,hard,easy,0
convert,ZeroShot,format1_prefix_format2_infix,easy,baichuan-inc,Baichuan-7B,hard,hard,0
convert,ZeroShot,format1_postfix_format2_prefix,hard,baichuan-inc,Baichuan-7B,easy,medium,0
convert,ZeroShot,format1_infix_format2_postfix,easy,baichuan-inc,Baichuan-7B,hard,hard,0
convert,ZeroShot,format1_infix_format2_prefix,medium,baichuan-inc,Baichuan-7B,medium,hard,0
convert,ZeroShot,format1_prefix_format2_infix,medium,baichuan-inc,Baichuan-7B,easy,medium,0
convert,ZeroShot,format1_postfix_format2_infix,medium,baichuan-inc,Baichuan-7B,hard,easy,0
convert,ZeroShot,format1_prefix_format2_postfix,easy,baichuan-inc,Baichuan-7B,hard,hard,0
convert,ZeroShot,format1_postfix_format2_infix,hard,baichuan-inc,Baichuan-7B,easy,easy,0
convert,ZeroShot,format1_prefix_format2_infix,easy,baichuan-inc,Baichuan-7B,easy,hard,0
convert,ZeroShot,format1_infix_format2_prefix,hard,baichuan-inc,Baichuan-7B,medium,easy,0
convert,ZeroShot,format1_prefix_format2_infix,hard,baichuan-inc,Baichuan-7B,medium,hard,0
convert,ZeroShot,format1_prefix_format2_infix,hard,baichuan-inc,Baichuan-7B,easy,hard,0
convert,ZeroShot,format1_infix_format2_prefix,hard,baichuan-inc,Baichuan-7B,medium,medium,0
convert,ZeroShot,format1_infix_format2_postfix,medium,baichuan-inc,Baichuan-7B,hard,easy,0
convert,ZeroShot,format1_infix_format2_postfix,easy,baichuan-inc,Baichuan-7B,easy,medium,0
convert,ZeroShot,format1_prefix_format2_postfix,hard,baichuan-inc,Baichuan-7B,easy,easy,0
convert,ZeroShot,format1_postfix_format2_infix,medium,baichuan-inc,Baichuan-7B,easy,easy,0
convert,ZeroShot,format1_prefix_format2_postfix,hard,baichuan-inc,Baichuan-7B,easy,hard,0
convert,ZeroShot,format1_postfix_format2_infix,medium,baichuan-inc,Baichuan-7B,easy,medium,0
convert,ZeroShot,format1_infix_format2_postfix,hard,baichuan-inc,Baichuan-7B,medium,easy,0
convert,ZeroShot,format1_infix_format2_postfix,hard,baichuan-inc,Baichuan-7B,hard,hard,0
convert,ZeroShot,format1_prefix_format2_infix,hard,baichuan-inc,Baichuan-7B,easy,easy,0
convert,ZeroShot,format1_postfix_format2_infix,medium,baichuan-inc,Baichuan-7B,medium,easy,0
convert,ZeroShot,format1_infix_format2_postfix,hard,baichuan-inc,Baichuan-7B,medium,hard,0
convert,ZeroShot,format1_prefix_format2_infix,hard,baichuan-inc,Baichuan-7B,medium,medium,0
convert,ZeroShot,format1_infix_format2_prefix,medium,baichuan-inc,Baichuan-7B,easy,easy,0
convert,ZeroShot,format1_infix_format2_postfix,easy,baichuan-inc,Baichuan-7B,medium,medium,0
convert,ZeroShot,format1_prefix_format2_infix,hard,baichuan-inc,Baichuan-7B,hard,hard,0
convert,ZeroShot,format1_postfix_format2_infix,easy,baichuan-inc,Baichuan-7B,medium,medium,0
convert,ZeroShot,format1_prefix_format2_postfix,hard,baichuan-inc,Baichuan-7B,medium,medium,0
convert,ZeroShot,format1_infix_format2_postfix,hard,baichuan-inc,Baichuan-7B,easy,easy,0
convert,ZeroShot,format1_prefix_format2_postfix,hard,baichuan-inc,Baichuan-7B,hard,hard,0
convert,ZeroShot,format1_infix_format2_postfix,hard,baichuan-inc,Baichuan-7B,hard,easy,0
convert,ZeroShot,format1_infix_format2_prefix,medium,baichuan-inc,Baichuan-7B,medium,easy,0
convert,ZeroShot,format1_infix_format2_postfix,hard,baichuan-inc,Baichuan-7B,easy,medium,0
convert,ZeroShot,format1_prefix_format2_postfix,medium,baichuan-inc,Baichuan-7B,medium,easy,0
convert,ZeroShot,format1_prefix_format2_postfix,medium,baichuan-inc,Baichuan-7B,hard,medium,0
convert,ZeroShot,format1_prefix_format2_postfix,easy,baichuan-inc,Baichuan-7B,easy,hard,0
convert,ZeroShot,format1_prefix_format2_infix,medium,baichuan-inc,Baichuan-7B,hard,easy,0
convert,ZeroShot,format1_postfix_format2_infix,medium,baichuan-inc,Baichuan-7B,medium,hard,0
convert,ZeroShot,format1_prefix_format2_infix,easy,baichuan-inc,Baichuan-7B,medium,hard,0
convert,ZeroShot,format1_prefix_format2_infix,easy,baichuan-inc,Baichuan-7B,hard,medium,0
convert,ZeroShot,format1_postfix_format2_prefix,medium,baichuan-inc,Baichuan-7B,hard,medium,0
convert,ZeroShot,format1_infix_format2_prefix,hard,baichuan-inc,Baichuan-7B,easy,hard,0
convert,ZeroShot,format1_postfix_format2_prefix,hard,baichuan-inc,Baichuan-7B,hard,medium,0
convert,ZeroShot,format1_prefix_format2_postfix,hard,baichuan-inc,Baichuan-7B,hard,easy,0
convert,ZeroShot,format1_infix_format2_postfix,medium,baichuan-inc,Baichuan-7B,medium,medium,0
convert,ZeroShot,format1_infix_format2_prefix,medium,baichuan-inc,Baichuan-7B,medium,medium,0
convert,ZeroShot,format1_prefix_format2_postfix,hard,baichuan-inc,Baichuan-7B,medium,hard,0
convert,ZeroShot,format1_postfix_format2_prefix,hard,baichuan-inc,Baichuan-7B,easy,easy,0
convert,ZeroShot,format1_prefix_format2_infix,medium,baichuan-inc,Baichuan-7B,easy,easy,0
convert,ZeroShot,format1_postfix_format2_infix,hard,baichuan-inc,Baichuan-7B,easy,medium,0
convert,ZeroShot,format1_postfix_format2_prefix,easy,baichuan-inc,Baichuan-7B,easy,hard,0
convert,ZeroShot,format1_postfix_format2_prefix,easy,baichuan-inc,Baichuan-7B,medium,easy,0
convert,ZeroShot,format1_infix_format2_prefix,medium,baichuan-inc,Baichuan-7B,easy,hard,0
convert,OneShot,format1_prefix_format2_infix,easy,THUDM,glm-4-9b-chat,easy,easy,69.23
convert,ZeroShot,format1_infix_format2_postfix,medium,THUDM,glm-4-9b-chat,easy,hard,41.94
convert,OneShot,format1_postfix_format2_prefix,medium,THUDM,glm-4-9b-chat,hard,hard,61.54
convert,OneShot,format1_postfix_format2_prefix,hard,THUDM,glm-4-9b-chat,medium,medium,84.62
convert,ZeroShot,format1_infix_format2_postfix,easy,THUDM,glm-4-9b-chat,medium,hard,77.42
convert,OneShot,format1_postfix_format2_prefix,hard,THUDM,glm-4-9b-chat,easy,easy,23.08
convert,FewShot,format1_prefix_format2_postfix,medium,THUDM,glm-4-9b-chat,easy,medium,92.31
convert,FewShot,format1_postfix_format2_prefix,easy,THUDM,glm-4-9b-chat,hard,medium,69.23
convert,ZeroShot,format1_prefix_format2_postfix,easy,THUDM,glm-4-9b-chat,medium,easy,6.45
convert,ZeroShot,format1_postfix_format2_prefix,medium,THUDM,glm-4-9b-chat,hard,hard,35.48
convert,ZeroShot,format1_infix_format2_prefix,easy,THUDM,glm-4-9b-chat,easy,medium,74.19
convert,FewShot,format1_infix_format2_postfix,medium,THUDM,glm-4-9b-chat,hard,medium,92.31
convert,OneShot,format1_postfix_format2_infix,easy,THUDM,glm-4-9b-chat,easy,medium,61.54
convert,ZeroShot,format1_postfix_format2_infix,medium,THUDM,glm-4-9b-chat,medium,easy,29.03
convert,OneShot,format1_prefix_format2_infix,hard,THUDM,glm-4-9b-chat,medium,easy,30.77
convert,FewShot,format1_prefix_format2_infix,easy,THUDM,glm-4-9b-chat,easy,easy,100
convert,ZeroShot,format1_infix_format2_prefix,easy,THUDM,glm-4-9b-chat,easy,hard,70.97
convert,ZeroShot,format1_prefix_format2_postfix,medium,THUDM,glm-4-9b-chat,medium,easy,0
convert,ZeroShot,format1_postfix_format2_prefix,medium,THUDM,glm-4-9b-chat,medium,easy,12.9
convert,ZeroShot,format1_infix_format2_postfix,hard,THUDM,glm-4-9b-chat,easy,medium,45.16
convert,OneShot,format1_postfix_format2_infix,easy,THUDM,glm-4-9b-chat,hard,medium,69.23
convert,ZeroShot,format1_prefix_format2_postfix,hard,THUDM,glm-4-9b-chat,medium,medium,9.68
convert,FewShot,format1_postfix_format2_prefix,easy,THUDM,glm-4-9b-chat,easy,hard,84.62
convert,OneShot,format1_prefix_format2_postfix,medium,THUDM,glm-4-9b-chat,hard,medium,76.92
convert,OneShot,format1_postfix_format2_prefix,medium,THUDM,glm-4-9b-chat,easy,hard,84.62
convert,FewShot,format1_prefix_format2_infix,hard,THUDM,glm-4-9b-chat,medium,medium,46.15
convert,FewShot,format1_postfix_format2_infix,medium,THUDM,glm-4-9b-chat,easy,easy,76.92
convert,ZeroShot,format1_prefix_format2_postfix,hard,THUDM,glm-4-9b-chat,hard,medium,9.68
convert,ZeroShot,format1_prefix_format2_infix,medium,THUDM,glm-4-9b-chat,hard,medium,19.35
convert,ZeroShot,format1_prefix_format2_postfix,medium,THUDM,glm-4-9b-chat,medium,medium,16.13
convert,ZeroShot,format1_infix_format2_postfix,medium,THUDM,glm-4-9b-chat,hard,hard,54.84
convert,OneShot,format1_infix_format2_postfix,hard,THUDM,glm-4-9b-chat,hard,hard,92.31
convert,ZeroShot,format1_infix_format2_prefix,medium,THUDM,glm-4-9b-chat,medium,hard,48.39
convert,OneShot,format1_prefix_format2_infix,easy,THUDM,glm-4-9b-chat,medium,medium,61.54
convert,FewShot,format1_infix_format2_prefix,medium,THUDM,glm-4-9b-chat,easy,easy,84.62
convert,OneShot,format1_prefix_format2_infix,medium,THUDM,glm-4-9b-chat,hard,easy,46.15
convert,ZeroShot,format1_infix_format2_postfix,easy,THUDM,glm-4-9b-chat,easy,easy,87.1
convert,ZeroShot,format1_infix_format2_postfix,easy,THUDM,glm-4-9b-chat,hard,hard,93.55
convert,OneShot,format1_postfix_format2_infix,medium,THUDM,glm-4-9b-chat,easy,hard,53.85
convert,FewShot,format1_infix_format2_prefix,easy,THUDM,glm-4-9b-chat,medium,hard,84.62
convert,FewShot,format1_prefix_format2_infix,medium,THUDM,glm-4-9b-chat,hard,easy,38.46
convert,FewShot,format1_prefix_format2_infix,hard,THUDM,glm-4-9b-chat,medium,easy,46.15
convert,FewShot,format1_prefix_format2_infix,easy,THUDM,glm-4-9b-chat,easy,medium,100
convert,ZeroShot,format1_postfix_format2_infix,hard,THUDM,glm-4-9b-chat,medium,medium,16.13
convert,FewShot,format1_prefix_format2_postfix,medium,THUDM,glm-4-9b-chat,easy,hard,92.31
convert,OneShot,format1_infix_format2_prefix,medium,THUDM,glm-4-9b-chat,easy,easy,61.54
convert,ZeroShot,format1_infix_format2_prefix,hard,THUDM,glm-4-9b-chat,easy,medium,61.29
convert,ZeroShot,format1_postfix_format2_infix,medium,THUDM,glm-4-9b-chat,hard,hard,19.35
convert,ZeroShot,format1_prefix_format2_postfix,easy,THUDM,glm-4-9b-chat,hard,medium,25.81
convert,ZeroShot,format1_prefix_format2_infix,easy,THUDM,glm-4-9b-chat,hard,hard,3.23
convert,OneShot,format1_infix_format2_postfix,hard,THUDM,glm-4-9b-chat,easy,easy,46.15
convert,OneShot,format1_prefix_format2_postfix,medium,THUDM,glm-4-9b-chat,medium,medium,84.62
convert,ZeroShot,format1_infix_format2_postfix,medium,THUDM,glm-4-9b-chat,hard,medium,67.74
convert,ZeroShot,format1_prefix_format2_postfix,hard,THUDM,glm-4-9b-chat,easy,medium,3.23
convert,ZeroShot,format1_infix_format2_prefix,hard,THUDM,glm-4-9b-chat,medium,easy,32.26
convert,FewShot,format1_postfix_format2_infix,easy,THUDM,glm-4-9b-chat,easy,easy,100
convert,ZeroShot,format1_infix_format2_prefix,medium,THUDM,glm-4-9b-chat,medium,medium,77.42
convert,OneShot,format1_infix_format2_prefix,medium,THUDM,glm-4-9b-chat,medium,easy,76.92
convert,FewShot,format1_prefix_format2_infix,medium,THUDM,glm-4-9b-chat,hard,medium,53.85
convert,FewShot,format1_postfix_format2_prefix,hard,THUDM,glm-4-9b-chat,easy,medium,76.92
convert,ZeroShot,format1_postfix_format2_infix,hard,THUDM,glm-4-9b-chat,medium,easy,19.35
convert,ZeroShot,format1_prefix_format2_postfix,hard,THUDM,glm-4-9b-chat,hard,easy,0
convert,FewShot,format1_postfix_format2_infix,medium,THUDM,glm-4-9b-chat,hard,easy,92.31
convert,FewShot,format1_infix_format2_postfix,easy,THUDM,glm-4-9b-chat,easy,easy,100
convert,ZeroShot,format1_prefix_format2_infix,easy,THUDM,glm-4-9b-chat,hard,medium,6.45
convert,ZeroShot,format1_postfix_format2_infix,easy,THUDM,glm-4-9b-chat,easy,medium,51.61
convert,FewShot,format1_prefix_format2_postfix,medium,THUDM,glm-4-9b-chat,medium,easy,100
convert,FewShot,format1_infix_format2_prefix,easy,THUDM,glm-4-9b-chat,medium,medium,100
convert,OneShot,format1_infix_format2_prefix,hard,THUDM,glm-4-9b-chat,medium,easy,46.15
convert,FewShot,format1_prefix_format2_infix,medium,THUDM,glm-4-9b-chat,medium,easy,69.23
convert,ZeroShot,format1_infix_format2_postfix,easy,THUDM,glm-4-9b-chat,easy,hard,83.87
convert,FewShot,format1_infix_format2_postfix,easy,THUDM,glm-4-9b-chat,hard,easy,100
convert,ZeroShot,format1_postfix_format2_prefix,easy,THUDM,glm-4-9b-chat,medium,hard,48.39
convert,FewShot,format1_infix_format2_postfix,medium,THUDM,glm-4-9b-chat,easy,hard,100
convert,OneShot,format1_infix_format2_postfix,hard,THUDM,glm-4-9b-chat,hard,medium,100
convert,ZeroShot,format1_infix_format2_prefix,medium,THUDM,glm-4-9b-chat,easy,easy,48.39
convert,FewShot,format1_prefix_format2_infix,easy,THUDM,glm-4-9b-chat,hard,hard,100
convert,OneShot,format1_infix_format2_prefix,medium,THUDM,glm-4-9b-chat,easy,hard,92.31
convert,OneShot,format1_infix_format2_postfix,medium,THUDM,glm-4-9b-chat,medium,hard,100
convert,ZeroShot,format1_postfix_format2_prefix,medium,THUDM,glm-4-9b-chat,hard,medium,41.94
convert,ZeroShot,format1_prefix_format2_infix,medium,THUDM,glm-4-9b-chat,easy,medium,19.35
convert,FewShot,format1_infix_format2_postfix,hard,THUDM,glm-4-9b-chat,medium,easy,92.31
convert,FewShot,format1_postfix_format2_infix,easy,THUDM,glm-4-9b-chat,medium,medium,100
convert,ZeroShot,format1_infix_format2_postfix,medium,THUDM,glm-4-9b-chat,easy,easy,54.84
convert,OneShot,format1_infix_format2_prefix,easy,THUDM,glm-4-9b-chat,medium,easy,76.92
convert,ZeroShot,format1_postfix_format2_prefix,medium,THUDM,glm-4-9b-chat,medium,medium,32.26
convert,ZeroShot,format1_postfix_format2_prefix,medium,THUDM,glm-4-9b-chat,hard,easy,32.26
convert,ZeroShot,format1_prefix_format2_postfix,medium,THUDM,glm-4-9b-chat,hard,hard,12.9
convert,FewShot,format1_postfix_format2_prefix,easy,THUDM,glm-4-9b-chat,hard,easy,46.15
convert,ZeroShot,format1_infix_format2_postfix,hard,THUDM,glm-4-9b-chat,medium,hard,48.39
convert,ZeroShot,format1_postfix_format2_infix,medium,THUDM,glm-4-9b-chat,easy,medium,25.81
convert,FewShot,format1_prefix_format2_infix,medium,THUDM,glm-4-9b-chat,easy,medium,69.23
convert,FewShot,format1_infix_format2_prefix,easy,THUDM,glm-4-9b-chat,easy,medium,100
convert,FewShot,format1_prefix_format2_infix,easy,THUDM,glm-4-9b-chat,hard,easy,100
convert,ZeroShot,format1_prefix_format2_postfix,medium,THUDM,glm-4-9b-chat,easy,hard,12.9
convert,OneShot,format1_infix_format2_postfix,medium,THUDM,glm-4-9b-chat,easy,medium,100
convert,ZeroShot,format1_prefix_format2_postfix,easy,THUDM,glm-4-9b-chat,easy,hard,19.35
convert,ZeroShot,format1_infix_format2_prefix,easy,THUDM,glm-4-9b-chat,medium,hard,64.52
convert,FewShot,format1_prefix_format2_postfix,hard,THUDM,glm-4-9b-chat,easy,hard,92.31
convert,FewShot,format1_postfix_format2_infix,medium,THUDM,glm-4-9b-chat,easy,hard,84.62
convert,OneShot,format1_infix_format2_prefix,easy,THUDM,glm-4-9b-chat,hard,medium,84.62
convert,ZeroShot,format1_prefix_format2_infix,easy,THUDM,glm-4-9b-chat,medium,easy,12.9
convert,ZeroShot,format1_prefix_format2_infix,easy,THUDM,glm-4-9b-chat,medium,medium,6.45
convert,FewShot,format1_infix_format2_postfix,hard,THUDM,glm-4-9b-chat,easy,easy,61.54
convert,OneShot,format1_infix_format2_prefix,hard,THUDM,glm-4-9b-chat,medium,hard,84.62
convert,FewShot,format1_prefix_format2_postfix,easy,THUDM,glm-4-9b-chat,medium,hard,100
convert,OneShot,format1_infix_format2_prefix,medium,THUDM,glm-4-9b-chat,easy,medium,84.62
convert,ZeroShot,format1_prefix_format2_infix,hard,THUDM,glm-4-9b-chat,hard,easy,0
convert,OneShot,format1_postfix_format2_prefix,medium,THUDM,glm-4-9b-chat,easy,easy,30.77
convert,ZeroShot,format1_infix_format2_prefix,hard,THUDM,glm-4-9b-chat,medium,hard,48.39
