SubTask,ModelFamily,ModelName,Mode,Difficulty,ExampleType,Accuracy
shared_ancestor_diff_level,THUDM,glm-4-9b-chat,bullshit,small,FewShot,53.85
shared_ancestor_diff_level,THUDM,glm-4-9b-chat,,large-2,OneShot,38.46
shared_ancestor_diff_level,THUDM,glm-4-9b-chat,bullshit,medium-1,ZeroShot,30.77
shared_ancestor_diff_level,THUDM,glm-4-9b-chat,bullshit,large-2,ZeroShot,30.77
shared_ancestor_diff_level,THUDM,glm-4-9b-chat,bullshit,large-1,ZeroShot,0
shared_ancestor_diff_level,THUDM,glm-4-9b-chat,,large-2,FewShot,46.15
shared_ancestor_diff_level,THUDM,glm-4-9b-chat,bullshit,medium-2,ZeroShot,30.77
shared_ancestor_diff_level,THUDM,glm-4-9b-chat,bullshit,large-1,FewShot,15.38
shared_ancestor_diff_level,THUDM,glm-4-9b-chat,,medium-1,FewShot,30.77
shared_ancestor_diff_level,THUDM,glm-4-9b-chat,bullshit,small,OneShot,0
shared_ancestor_diff_level,THUDM,glm-4-9b-chat,,medium-2,OneShot,23.08
shared_ancestor_diff_level,THUDM,glm-4-9b-chat,,large-1,ZeroShot,7.69
shared_ancestor_diff_level,THUDM,glm-4-9b-chat,bullshit,large-1,OneShot,0
shared_ancestor_diff_level,THUDM,glm-4-9b-chat,,small,FewShot,38.46
shared_ancestor_diff_level,THUDM,glm-4-9b-chat,,small,ZeroShot,7.69
shared_ancestor_diff_level,01-ai,Yi-1.5-9B-Chat,,large-2,ZeroShot,38.46
shared_ancestor_diff_level,01-ai,Yi-1.5-9B-Chat,bullshit,small,ZeroShot,0
shared_ancestor_diff_level,01-ai,Yi-1.5-9B-Chat,bullshit,medium-2,ZeroShot,0
shared_ancestor_diff_level,01-ai,Yi-1.5-9B-Chat,bullshit,medium-1,ZeroShot,15.38
shared_ancestor_diff_level,01-ai,Yi-1.5-9B-Chat,,small,ZeroShot,38.46
shared_ancestor_diff_level,01-ai,Yi-1.5-9B-Chat,bullshit,large-1,ZeroShot,0
shared_ancestor_diff_level,01-ai,Yi-1.5-9B-Chat,,medium-2,ZeroShot,30.77
shared_ancestor_diff_level,01-ai,Yi-1.5-9B-Chat,bullshit,large-2,ZeroShot,0
shared_ancestor_diff_level,01-ai,Yi-1.5-9B-Chat,,large-1,ZeroShot,30.77
shared_ancestor_diff_level,01-ai,Yi-1.5-9B-Chat,,medium-1,ZeroShot,15.38
shared_ancestor_diff_level,mistralai,Mistral-7B-Instruct-v0.3,bullshit,small,ZeroShot,23.08
shared_ancestor_diff_level,mistralai,Mistral-7B-Instruct-v0.3,bullshit,large-2,ZeroShot,0
shared_ancestor_diff_level,mistralai,Mistral-7B-Instruct-v0.3,bullshit,medium-2,ZeroShot,0
shared_ancestor_diff_level,mistralai,Mistral-7B-Instruct-v0.3,,large-2,ZeroShot,0
shared_ancestor_diff_level,mistralai,Mistral-7B-Instruct-v0.3,,large-1,ZeroShot,15.38
shared_ancestor_diff_level,mistralai,Mistral-7B-Instruct-v0.3,bullshit,large-1,ZeroShot,38.46
shared_ancestor_diff_level,mistralai,Mistral-7B-Instruct-v0.3,,medium-1,ZeroShot,7.69
shared_ancestor_diff_level,mistralai,Mistral-7B-Instruct-v0.3,,medium-2,ZeroShot,0
shared_ancestor_diff_level,mistralai,Mistral-7B-Instruct-v0.3,bullshit,medium-1,ZeroShot,15.38
shared_ancestor_diff_level,mistralai,Mistral-7B-Instruct-v0.3,,small,ZeroShot,0
shared_ancestor_diff_level,openai,gpt-4-turbo,,medium-1,ZeroShot,15.38
shared_ancestor_diff_level,openai,gpt-4-turbo,bullshit,large-1,ZeroShot,38.46
shared_ancestor_diff_level,openai,gpt-4-turbo,bullshit,medium-2,ZeroShot,15.38
shared_ancestor_diff_level,openai,gpt-4-turbo,,small,ZeroShot,23.08
shared_ancestor_diff_level,openai,gpt-4-turbo,bullshit,small,ZeroShot,23.08
shared_ancestor_diff_level,openai,gpt-4-turbo,bullshit,medium-1,ZeroShot,30.77
shared_ancestor_diff_level,openai,gpt-4-turbo,,large-2,ZeroShot,38.46
shared_ancestor_diff_level,openai,gpt-4-turbo,,large-1,ZeroShot,38.46
shared_ancestor_diff_level,openai,gpt-4-turbo,,medium-2,ZeroShot,30.77
shared_ancestor_diff_level,openai,gpt-4-turbo,bullshit,large-2,ZeroShot,53.85
shared_ancestor_diff_level,deepseek,deepseek-v3,,medium-1,ZeroShot,38.46
shared_ancestor_diff_level,deepseek,deepseek-v3,,large-1,ZeroShot,46.15
shared_ancestor_diff_level,deepseek,deepseek-v3,bullshit,large-2,ZeroShot,38.46
shared_ancestor_diff_level,deepseek,deepseek-v3,,large-2,ZeroShot,46.15
shared_ancestor_diff_level,deepseek,deepseek-v3,bullshit,small,ZeroShot,38.46
shared_ancestor_diff_level,deepseek,deepseek-v3,,small,ZeroShot,53.85
shared_ancestor_diff_level,deepseek,deepseek-v3,bullshit,large-1,ZeroShot,53.85
shared_ancestor_diff_level,deepseek,deepseek-v3,bullshit,medium-1,ZeroShot,53.85
shared_ancestor_diff_level,deepseek,deepseek-v3,bullshit,medium-2,ZeroShot,23.08
shared_ancestor_diff_level,deepseek,deepseek-v3,,medium-2,ZeroShot,69.23
shared_ancestor_diff_level,meta-llama,Llama-3.2-1B-Instruct,bullshit,medium-2,ZeroShot,0
shared_ancestor_diff_level,meta-llama,Llama-3.2-1B-Instruct,,medium-2,FewShot,0
shared_ancestor_diff_level,meta-llama,Llama-3.2-1B-Instruct,bullshit,medium-1,OneShot,0
shared_ancestor_diff_level,meta-llama,Llama-3.2-1B-Instruct,,large-2,OneShot,0
shared_ancestor_diff_level,meta-llama,Llama-3.2-1B-Instruct,,large-1,OneShot,0
shared_ancestor_diff_level,meta-llama,Llama-3.2-1B-Instruct,,medium-1,ZeroShot,7.69
shared_ancestor_diff_level,meta-llama,Llama-3.2-1B-Instruct,,large-1,FewShot,0
shared_ancestor_diff_level,meta-llama,Llama-3.2-1B-Instruct,,medium-2,OneShot,0
shared_ancestor_diff_level,meta-llama,Llama-3.2-1B-Instruct,bullshit,medium-1,FewShot,0
shared_ancestor_diff_level,meta-llama,Llama-3.2-1B-Instruct,bullshit,large-2,FewShot,0
shared_ancestor_diff_level,meta-llama,Llama-3.2-1B-Instruct,bullshit,large-1,OneShot,0
shared_ancestor_diff_level,meta-llama,Llama-3.2-1B-Instruct,,medium-1,OneShot,0
shared_ancestor_diff_level,meta-llama,Llama-3.2-1B-Instruct,,medium-1,FewShot,0
shared_ancestor_diff_level,meta-llama,Llama-3.2-1B-Instruct,bullshit,small,FewShot,0
shared_ancestor_diff_level,meta-llama,Llama-3.2-1B-Instruct,,large-2,FewShot,0
shared_ancestor_diff_level,meta-llama,Llama-3.2-1B-Instruct,bullshit,medium-2,FewShot,0
shared_ancestor_diff_level,meta-llama,Llama-3.2-1B-Instruct,bullshit,large-2,ZeroShot,0
shared_ancestor_diff_level,meta-llama,Llama-3.2-1B-Instruct,bullshit,large-1,FewShot,0
shared_ancestor_diff_level,meta-llama,Llama-3.2-1B-Instruct,bullshit,small,OneShot,0
shared_ancestor_diff_level,meta-llama,Llama-3.2-1B-Instruct,bullshit,small,ZeroShot,0
shared_ancestor_diff_level,meta-llama,Llama-3.2-1B-Instruct,,small,FewShot,0
shared_ancestor_diff_level,meta-llama,Llama-3.2-1B-Instruct,bullshit,medium-2,OneShot,0
shared_ancestor_diff_level,meta-llama,Llama-3.2-1B-Instruct,,large-1,ZeroShot,0
shared_ancestor_diff_level,meta-llama,Llama-3.2-1B-Instruct,,small,ZeroShot,0
shared_ancestor_diff_level,meta-llama,Llama-3.2-1B-Instruct,,medium-2,ZeroShot,0
shared_ancestor_diff_level,meta-llama,Llama-3.2-1B-Instruct,bullshit,large-1,ZeroShot,0
shared_ancestor_diff_level,meta-llama,Llama-3.2-1B-Instruct,bullshit,medium-1,ZeroShot,0
shared_ancestor_diff_level,meta-llama,Llama-3.2-1B-Instruct,,large-2,ZeroShot,0
shared_ancestor_diff_level,meta-llama,Llama-3.2-1B-Instruct,bullshit,large-2,OneShot,0
shared_ancestor_diff_level,meta-llama,Llama-3.2-1B-Instruct,,small,OneShot,0
shared_ancestor_diff_level,meta-llama,Llama-3.1-70B-Instruct,bullshit,medium-1,ZeroShot,53.85
shared_ancestor_diff_level,meta-llama,Llama-3.1-70B-Instruct,bullshit,large-2,ZeroShot,69.23
shared_ancestor_diff_level,meta-llama,Llama-3.1-70B-Instruct,,large-1,ZeroShot,53.85
shared_ancestor_diff_level,meta-llama,Llama-3.1-70B-Instruct,,medium-1,ZeroShot,53.85
shared_ancestor_diff_level,meta-llama,Llama-3.1-70B-Instruct,,medium-2,ZeroShot,53.85
shared_ancestor_diff_level,meta-llama,Llama-3.1-70B-Instruct,,small,ZeroShot,76.92
shared_ancestor_diff_level,meta-llama,Llama-3.1-70B-Instruct,bullshit,large-1,ZeroShot,46.15
shared_ancestor_diff_level,meta-llama,Llama-3.1-70B-Instruct,bullshit,medium-2,ZeroShot,30.77
shared_ancestor_diff_level,meta-llama,Llama-3.1-70B-Instruct,,large-2,ZeroShot,46.15
shared_ancestor_diff_level,meta-llama,Llama-3.1-70B-Instruct,bullshit,small,ZeroShot,53.85
shared_ancestor_diff_level,meta-llama,Meta-Llama-3.1-8B-Instruct,bullshit,large-1,OneShot,7.69
shared_ancestor_diff_level,meta-llama,Meta-Llama-3.1-8B-Instruct,,medium-1,FewShot,0
shared_ancestor_diff_level,meta-llama,Meta-Llama-3.1-8B-Instruct,,medium-1,ZeroShot,15.38
shared_ancestor_diff_level,meta-llama,Meta-Llama-3.1-8B-Instruct,bullshit,small,ZeroShot,0
shared_ancestor_diff_level,meta-llama,Meta-Llama-3.1-8B-Instruct,bullshit,medium-2,ZeroShot,0
shared_ancestor_diff_level,meta-llama,Meta-Llama-3.1-8B-Instruct,bullshit,medium-2,FewShot,0
shared_ancestor_diff_level,meta-llama,Meta-Llama-3.1-8B-Instruct,,small,FewShot,0
shared_ancestor_diff_level,meta-llama,Meta-Llama-3.1-8B-Instruct,,large-2,ZeroShot,15.38
shared_ancestor_diff_level,meta-llama,Meta-Llama-3.1-8B-Instruct,bullshit,medium-1,FewShot,0
shared_ancestor_diff_level,meta-llama,Meta-Llama-3.1-8B-Instruct,bullshit,large-2,ZeroShot,0
shared_ancestor_diff_level,meta-llama,Meta-Llama-3.1-8B-Instruct,bullshit,large-2,OneShot,0
shared_ancestor_diff_level,meta-llama,Meta-Llama-3.1-8B-Instruct,,medium-2,ZeroShot,7.69
shared_ancestor_diff_level,meta-llama,Meta-Llama-3.1-8B-Instruct,,small,ZeroShot,0
shared_ancestor_diff_level,meta-llama,Meta-Llama-3.1-8B-Instruct,,large-2,OneShot,0
shared_ancestor_diff_level,meta-llama,Meta-Llama-3.1-8B-Instruct,bullshit,medium-2,OneShot,0
shared_ancestor_diff_level,meta-llama,Meta-Llama-3.1-8B-Instruct,,medium-2,OneShot,0
shared_ancestor_diff_level,meta-llama,Meta-Llama-3.1-8B-Instruct,,medium-2,FewShot,0
shared_ancestor_diff_level,meta-llama,Meta-Llama-3.1-8B-Instruct,,large-1,OneShot,23.08
shared_ancestor_diff_level,meta-llama,Meta-Llama-3.1-8B-Instruct,bullshit,medium-1,OneShot,0
shared_ancestor_diff_level,meta-llama,Meta-Llama-3.1-8B-Instruct,,large-2,FewShot,7.69
shared_ancestor_diff_level,meta-llama,Meta-Llama-3.1-8B-Instruct,bullshit,large-1,ZeroShot,7.69
shared_ancestor_diff_level,meta-llama,Meta-Llama-3.1-8B-Instruct,,large-1,FewShot,0
shared_ancestor_diff_level,meta-llama,Meta-Llama-3.1-8B-Instruct,,medium-1,OneShot,15.38
shared_ancestor_diff_level,meta-llama,Meta-Llama-3.1-8B-Instruct,bullshit,small,OneShot,0
shared_ancestor_diff_level,meta-llama,Meta-Llama-3.1-8B-Instruct,bullshit,large-1,FewShot,0
shared_ancestor_diff_level,meta-llama,Meta-Llama-3.1-8B-Instruct,,small,OneShot,0
shared_ancestor_diff_level,meta-llama,Meta-Llama-3.1-8B-Instruct,bullshit,small,FewShot,0
shared_ancestor_diff_level,meta-llama,Meta-Llama-3.1-8B-Instruct,bullshit,large-2,FewShot,0
shared_ancestor_diff_level,meta-llama,Meta-Llama-3.1-8B-Instruct,,large-1,ZeroShot,23.08
shared_ancestor_diff_level,meta-llama,Meta-Llama-3.1-8B-Instruct,bullshit,medium-1,ZeroShot,0
shared_ancestor_diff_level,meta-llama,Llama-3.1-405B-Instruct,bullshit,small,ZeroShot,30.77
shared_ancestor_diff_level,meta-llama,Llama-3.1-405B-Instruct,,large-2,ZeroShot,53.85
shared_ancestor_diff_level,meta-llama,Llama-3.1-405B-Instruct,,medium-2,ZeroShot,76.92
shared_ancestor_diff_level,meta-llama,Llama-3.1-405B-Instruct,bullshit,medium-2,ZeroShot,30.77
shared_ancestor_diff_level,meta-llama,Llama-3.1-405B-Instruct,bullshit,large-2,ZeroShot,76.92
shared_ancestor_diff_level,meta-llama,Llama-3.1-405B-Instruct,,medium-1,ZeroShot,53.85
shared_ancestor_diff_level,meta-llama,Llama-3.1-405B-Instruct,,small,ZeroShot,61.54
shared_ancestor_diff_level,meta-llama,Llama-3.1-405B-Instruct,bullshit,large-1,ZeroShot,23.08
shared_ancestor_diff_level,meta-llama,Llama-3.1-405B-Instruct,,large-1,ZeroShot,30.77
shared_ancestor_diff_level,meta-llama,Llama-3.1-405B-Instruct,bullshit,medium-1,ZeroShot,30.77
shared_ancestor_diff_level,meta-llama,Llama-3.2-3B-Instruct,bullshit,medium-1,OneShot,0
shared_ancestor_diff_level,meta-llama,Llama-3.2-3B-Instruct,bullshit,medium-2,ZeroShot,0
shared_ancestor_diff_level,meta-llama,Llama-3.2-3B-Instruct,,large-2,OneShot,15.38
shared_ancestor_diff_level,meta-llama,Llama-3.2-3B-Instruct,bullshit,large-1,FewShot,0
shared_ancestor_diff_level,meta-llama,Llama-3.2-3B-Instruct,,medium-2,OneShot,30.77
shared_ancestor_diff_level,meta-llama,Llama-3.2-3B-Instruct,bullshit,large-2,ZeroShot,0
shared_ancestor_diff_level,meta-llama,Llama-3.2-3B-Instruct,,medium-2,FewShot,46.15
shared_ancestor_diff_level,meta-llama,Llama-3.2-3B-Instruct,,small,FewShot,46.15
shared_ancestor_diff_level,meta-llama,Llama-3.2-3B-Instruct,,medium-2,ZeroShot,15.38
shared_ancestor_diff_level,meta-llama,Llama-3.2-3B-Instruct,,large-2,ZeroShot,15.38
shared_ancestor_diff_level,meta-llama,Llama-3.2-3B-Instruct,bullshit,large-2,OneShot,0
shared_ancestor_diff_level,meta-llama,Llama-3.2-3B-Instruct,bullshit,medium-2,OneShot,0
shared_ancestor_diff_level,meta-llama,Llama-3.2-3B-Instruct,bullshit,medium-2,FewShot,0
shared_ancestor_diff_level,meta-llama,Llama-3.2-3B-Instruct,,large-1,ZeroShot,15.38
shared_ancestor_diff_level,meta-llama,Llama-3.2-3B-Instruct,bullshit,large-1,ZeroShot,23.08
shared_ancestor_diff_level,meta-llama,Llama-3.2-3B-Instruct,,small,OneShot,46.15
shared_ancestor_diff_level,meta-llama,Llama-3.2-3B-Instruct,,medium-1,OneShot,53.85
shared_ancestor_diff_level,meta-llama,Llama-3.2-3B-Instruct,bullshit,small,FewShot,0
shared_ancestor_diff_level,meta-llama,Llama-3.2-3B-Instruct,bullshit,small,OneShot,0
shared_ancestor_diff_level,meta-llama,Llama-3.2-3B-Instruct,,small,ZeroShot,7.69
shared_ancestor_diff_level,meta-llama,Llama-3.2-3B-Instruct,bullshit,medium-1,ZeroShot,0
shared_ancestor_diff_level,meta-llama,Llama-3.2-3B-Instruct,,medium-1,ZeroShot,30.77
shared_ancestor_diff_level,meta-llama,Llama-3.2-3B-Instruct,bullshit,medium-1,FewShot,0
shared_ancestor_diff_level,meta-llama,Llama-3.2-3B-Instruct,,large-1,OneShot,38.46
shared_ancestor_diff_level,meta-llama,Llama-3.2-3B-Instruct,,large-2,FewShot,23.08
shared_ancestor_diff_level,meta-llama,Llama-3.2-3B-Instruct,bullshit,large-1,OneShot,0
shared_ancestor_diff_level,meta-llama,Llama-3.2-3B-Instruct,bullshit,large-2,FewShot,0
shared_ancestor_diff_level,meta-llama,Llama-3.2-3B-Instruct,,medium-1,FewShot,53.85
shared_ancestor_diff_level,meta-llama,Llama-3.2-3B-Instruct,,large-1,FewShot,23.08
shared_ancestor_diff_level,meta-llama,Llama-3.2-3B-Instruct,bullshit,small,ZeroShot,38.46
shared_ancestor_diff_level,internlm,internlm2_5-7b-chat,bullshit,medium-2,ZeroShot,0
shared_ancestor_diff_level,internlm,internlm2_5-7b-chat,,large-1,ZeroShot,30.77
shared_ancestor_diff_level,internlm,internlm2_5-7b-chat,bullshit,medium-1,ZeroShot,0
shared_ancestor_diff_level,internlm,internlm2_5-7b-chat,,small,ZeroShot,53.85
shared_ancestor_diff_level,internlm,internlm2_5-7b-chat,bullshit,small,ZeroShot,0
shared_ancestor_diff_level,internlm,internlm2_5-7b-chat,bullshit,large-2,ZeroShot,0
shared_ancestor_diff_level,internlm,internlm2_5-7b-chat,,medium-2,ZeroShot,46.15
shared_ancestor_diff_level,internlm,internlm2_5-7b-chat,,medium-1,ZeroShot,46.15
shared_ancestor_diff_level,internlm,internlm2_5-7b-chat,bullshit,large-1,ZeroShot,0
shared_ancestor_diff_level,internlm,internlm2_5-7b-chat,,large-2,ZeroShot,53.85
shared_ancestor_diff_level,openai,gpt-3.5-turbo,,medium-1,ZeroShot,23.08
shared_ancestor_diff_level,openai,gpt-3.5-turbo,bullshit,medium-2,ZeroShot,15.38
shared_ancestor_diff_level,openai,gpt-3.5-turbo,bullshit,large-1,ZeroShot,0
shared_ancestor_diff_level,openai,gpt-3.5-turbo,bullshit,large-2,ZeroShot,7.69
shared_ancestor_diff_level,openai,gpt-3.5-turbo,,large-1,ZeroShot,38.46
shared_ancestor_diff_level,openai,gpt-3.5-turbo,,medium-2,ZeroShot,46.15
shared_ancestor_diff_level,openai,gpt-3.5-turbo,,small,ZeroShot,38.46
shared_ancestor_diff_level,openai,gpt-3.5-turbo,bullshit,medium-1,ZeroShot,7.69
shared_ancestor_diff_level,openai,gpt-3.5-turbo,,large-2,ZeroShot,38.46
shared_ancestor_diff_level,openai,gpt-3.5-turbo,bullshit,small,ZeroShot,0
shared_ancestor_diff_level,microsoft,Phi-3.5-mini-instruct,,medium-2,ZeroShot,30.77
shared_ancestor_diff_level,microsoft,Phi-3.5-mini-instruct,,medium-1,ZeroShot,61.54
shared_ancestor_diff_level,microsoft,Phi-3.5-mini-instruct,bullshit,medium-2,ZeroShot,38.46
shared_ancestor_diff_level,microsoft,Phi-3.5-mini-instruct,bullshit,medium-1,ZeroShot,38.46
shared_ancestor_diff_level,microsoft,Phi-3.5-mini-instruct,,small,ZeroShot,69.23
shared_ancestor_diff_level,microsoft,Phi-3.5-mini-instruct,,large-2,ZeroShot,30.77
shared_ancestor_diff_level,microsoft,Phi-3.5-mini-instruct,bullshit,large-1,ZeroShot,38.46
shared_ancestor_diff_level,microsoft,Phi-3.5-mini-instruct,bullshit,small,ZeroShot,46.15
shared_ancestor_diff_level,microsoft,Phi-3.5-mini-instruct,,large-1,ZeroShot,46.15
shared_ancestor_diff_level,microsoft,Phi-3.5-mini-instruct,bullshit,large-2,ZeroShot,46.15
shared_ancestor_diff_level,Qwen,Qwen2.5-32B-Instruct,bullshit,small,ZeroShot,76.92
shared_ancestor_diff_level,Qwen,Qwen2.5-32B-Instruct,bullshit,medium-1,ZeroShot,76.92
shared_ancestor_diff_level,Qwen,Qwen2.5-32B-Instruct,,small,ZeroShot,76.92
shared_ancestor_diff_level,Qwen,Qwen2.5-32B-Instruct,,large-1,ZeroShot,46.15
shared_ancestor_diff_level,Qwen,Qwen2.5-32B-Instruct,bullshit,large-2,ZeroShot,100
shared_ancestor_diff_level,Qwen,Qwen2.5-32B-Instruct,,medium-1,ZeroShot,61.54
shared_ancestor_diff_level,Qwen,Qwen2.5-32B-Instruct,,medium-2,ZeroShot,69.23
shared_ancestor_diff_level,Qwen,Qwen2.5-32B-Instruct,bullshit,medium-2,ZeroShot,76.92
shared_ancestor_diff_level,Qwen,Qwen2.5-32B-Instruct,,large-2,ZeroShot,69.23
shared_ancestor_diff_level,Qwen,Qwen2.5-32B-Instruct,bullshit,large-1,ZeroShot,53.85
shared_ancestor_diff_level,Qwen,Qwen2.5-3B-Instruct,,medium-2,OneShot,46.15
shared_ancestor_diff_level,Qwen,Qwen2.5-3B-Instruct,bullshit,small,OneShot,0
shared_ancestor_diff_level,Qwen,Qwen2.5-3B-Instruct,bullshit,large-2,ZeroShot,46.15
shared_ancestor_diff_level,Qwen,Qwen2.5-3B-Instruct,,medium-2,ZeroShot,53.85
shared_ancestor_diff_level,Qwen,Qwen2.5-3B-Instruct,bullshit,large-1,ZeroShot,46.15
shared_ancestor_diff_level,Qwen,Qwen2.5-3B-Instruct,,large-1,OneShot,23.08
shared_ancestor_diff_level,Qwen,Qwen2.5-3B-Instruct,bullshit,medium-1,ZeroShot,38.46
shared_ancestor_diff_level,Qwen,Qwen2.5-3B-Instruct,bullshit,small,FewShot,0
shared_ancestor_diff_level,Qwen,Qwen2.5-3B-Instruct,bullshit,medium-1,OneShot,0
shared_ancestor_diff_level,Qwen,Qwen2.5-3B-Instruct,,large-2,OneShot,38.46
shared_ancestor_diff_level,Qwen,Qwen2.5-3B-Instruct,,small,FewShot,46.15
shared_ancestor_diff_level,Qwen,Qwen2.5-3B-Instruct,bullshit,large-2,FewShot,0
shared_ancestor_diff_level,Qwen,Qwen2.5-3B-Instruct,,small,OneShot,46.15
shared_ancestor_diff_level,Qwen,Qwen2.5-3B-Instruct,bullshit,medium-1,FewShot,0
shared_ancestor_diff_level,Qwen,Qwen2.5-3B-Instruct,,large-2,ZeroShot,61.54
shared_ancestor_diff_level,Qwen,Qwen2.5-3B-Instruct,,small,ZeroShot,61.54
shared_ancestor_diff_level,Qwen,Qwen2.5-3B-Instruct,bullshit,large-2,OneShot,7.69
shared_ancestor_diff_level,Qwen,Qwen2.5-3B-Instruct,bullshit,medium-2,OneShot,0
shared_ancestor_diff_level,Qwen,Qwen2.5-3B-Instruct,,medium-1,OneShot,30.77
shared_ancestor_diff_level,Qwen,Qwen2.5-3B-Instruct,,large-2,FewShot,61.54
shared_ancestor_diff_level,Qwen,Qwen2.5-3B-Instruct,bullshit,medium-2,FewShot,0
shared_ancestor_diff_level,Qwen,Qwen2.5-3B-Instruct,,large-1,ZeroShot,38.46
shared_ancestor_diff_level,Qwen,Qwen2.5-3B-Instruct,,medium-2,FewShot,46.15
shared_ancestor_diff_level,Qwen,Qwen2.5-3B-Instruct,,large-1,FewShot,30.77
shared_ancestor_diff_level,Qwen,Qwen2.5-3B-Instruct,,medium-1,FewShot,30.77
shared_ancestor_diff_level,Qwen,Qwen2.5-3B-Instruct,bullshit,medium-2,ZeroShot,46.15
shared_ancestor_diff_level,Qwen,Qwen2.5-3B-Instruct,,medium-1,ZeroShot,46.15
shared_ancestor_diff_level,Qwen,Qwen2.5-3B-Instruct,bullshit,small,ZeroShot,15.38
shared_ancestor_diff_level,Qwen,Qwen2.5-3B-Instruct,bullshit,large-1,OneShot,61.54
shared_ancestor_diff_level,Qwen,Qwen2.5-3B-Instruct,bullshit,large-1,FewShot,30.77
shared_ancestor_diff_level,Qwen,Qwen2.5-1.5B-Instruct,,medium-1,OneShot,46.15
shared_ancestor_diff_level,Qwen,Qwen2.5-1.5B-Instruct,bullshit,small,FewShot,15.38
shared_ancestor_diff_level,Qwen,Qwen2.5-1.5B-Instruct,bullshit,large-1,ZeroShot,30.77
shared_ancestor_diff_level,Qwen,Qwen2.5-1.5B-Instruct,bullshit,medium-2,FewShot,0
shared_ancestor_diff_level,Qwen,Qwen2.5-1.5B-Instruct,,large-1,OneShot,23.08
shared_ancestor_diff_level,Qwen,Qwen2.5-1.5B-Instruct,,small,OneShot,23.08
shared_ancestor_diff_level,Qwen,Qwen2.5-1.5B-Instruct,,large-2,OneShot,61.54
shared_ancestor_diff_level,Qwen,Qwen2.5-1.5B-Instruct,,small,FewShot,30.77
shared_ancestor_diff_level,Qwen,Qwen2.5-1.5B-Instruct,bullshit,large-1,FewShot,0
shared_ancestor_diff_level,Qwen,Qwen2.5-1.5B-Instruct,,medium-2,OneShot,30.77
shared_ancestor_diff_level,Qwen,Qwen2.5-1.5B-Instruct,,small,ZeroShot,38.46
shared_ancestor_diff_level,Qwen,Qwen2.5-1.5B-Instruct,,medium-2,ZeroShot,30.77
shared_ancestor_diff_level,Qwen,Qwen2.5-1.5B-Instruct,,medium-1,FewShot,46.15
shared_ancestor_diff_level,Qwen,Qwen2.5-1.5B-Instruct,bullshit,large-1,OneShot,0
shared_ancestor_diff_level,Qwen,Qwen2.5-1.5B-Instruct,bullshit,small,OneShot,15.38
shared_ancestor_diff_level,Qwen,Qwen2.5-1.5B-Instruct,,large-2,ZeroShot,46.15
shared_ancestor_diff_level,Qwen,Qwen2.5-1.5B-Instruct,bullshit,large-2,FewShot,7.69
shared_ancestor_diff_level,Qwen,Qwen2.5-1.5B-Instruct,bullshit,medium-2,OneShot,0
shared_ancestor_diff_level,Qwen,Qwen2.5-1.5B-Instruct,bullshit,medium-2,ZeroShot,0
