SubTask,Balance,Difficulty,ExampleType,InputMode,ModelName,Accuracy
mirror_tree,balanced,medium,ZeroShot,edge,Qwen2.5-7B-Instruct,0
mirror_tree,unbalanced,easy,ZeroShot,edge,Qwen2.5-7B-Instruct,12.5
mirror_tree,balanced,hard,ZeroShot,hierarchy,Qwen2.5-7B-Instruct,0
mirror_tree,balanced,easy,ZeroShot,edge,Qwen2.5-7B-Instruct,16.67
traversal_order_verification,unbalanced,medium,ZeroShot,edge,QwQ-32B,92.59
traversal_order_verification,unbalanced,easy,ZeroShot,hierarchy,QwQ-32B,95.83
traversal_order_verification,balanced,easy,ZeroShot,hierarchy,QwQ-32B,87.5
traversal_order_verification,balanced,medium,ZeroShot,hierarchy,QwQ-32B,88.89
traversal_order_verification,unbalanced,easy,ZeroShot,edge,QwQ-32B,87.5
traversal_order_verification,balanced,hard,ZeroShot,hierarchy,QwQ-32B,66.67
traversal_order_verification,balanced,medium,ZeroShot,edge,QwQ-32B,85.19
traversal_order_verification,balanced,hard,ZeroShot,edge,QwQ-32B,55.56
traversal_order_verification,unbalanced,hard,ZeroShot,hierarchy,QwQ-32B,61.11
traversal_order_verification,balanced,easy,ZeroShot,edge,QwQ-32B,95.83
traversal_order_verification,unbalanced,hard,ZeroShot,edge,QwQ-32B,77.78
traversal_order_verification,unbalanced,medium,ZeroShot,hierarchy,QwQ-32B,81.48
traversal_order_verification,balanced,easy,ZeroShot,edge,Qwen2.5-7B-Instruct,58.33
traversal_order_verification,unbalanced,medium,ZeroShot,edge,Qwen2.5-7B-Instruct,40.74
traversal_order_verification,balanced,hard,ZeroShot,hierarchy,Qwen2.5-7B-Instruct,44.44
traversal_order_verification,unbalanced,easy,ZeroShot,edge,Qwen2.5-7B-Instruct,70.83
traversal_order_verification,unbalanced,medium,ZeroShot,hierarchy,Qwen2.5-7B-Instruct,40.74
traversal_order_verification,balanced,easy,ZeroShot,hierarchy,Qwen2.5-7B-Instruct,41.67
traversal_order_verification,unbalanced,easy,ZeroShot,hierarchy,Qwen2.5-7B-Instruct,54.17
traversal_order_verification,balanced,hard,ZeroShot,edge,Qwen2.5-7B-Instruct,27.78
traversal_order_verification,balanced,medium,ZeroShot,hierarchy,Qwen2.5-7B-Instruct,40.74
traversal_order_verification,unbalanced,hard,ZeroShot,edge,Qwen2.5-7B-Instruct,44.44
traversal_order_verification,unbalanced,hard,ZeroShot,hierarchy,Qwen2.5-7B-Instruct,38.89
traversal_order_verification,balanced,medium,ZeroShot,edge,Qwen2.5-7B-Instruct,48.15
balance,balanced,medium,ZeroShot,hierarchy,QwQ-32B,29.63
balance,balanced,easy,ZeroShot,edge,QwQ-32B,91.67
balance,unbalanced,medium,ZeroShot,edge,QwQ-32B,74.07
balance,balanced,medium,ZeroShot,edge,QwQ-32B,48.15
balance,unbalanced,easy,ZeroShot,edge,QwQ-32B,91.67
balance,unbalanced,hard,ZeroShot,hierarchy,QwQ-32B,72.22
balance,balanced,hard,ZeroShot,edge,QwQ-32B,83.33
balance,balanced,hard,ZeroShot,hierarchy,QwQ-32B,72.22
balance,balanced,easy,ZeroShot,hierarchy,QwQ-32B,83.33
balance,unbalanced,hard,ZeroShot,edge,QwQ-32B,55.56
balance,unbalanced,easy,ZeroShot,hierarchy,QwQ-32B,91.67
balance,unbalanced,medium,ZeroShot,hierarchy,QwQ-32B,81.48
balance,unbalanced,medium,ZeroShot,edge,Qwen2.5-7B-Instruct,70.37
balance,unbalanced,easy,ZeroShot,edge,Qwen2.5-7B-Instruct,100
balance,balanced,medium,ZeroShot,edge,Qwen2.5-7B-Instruct,74.07
balance,balanced,medium,ZeroShot,hierarchy,Qwen2.5-7B-Instruct,74.07
balance,balanced,easy,ZeroShot,edge,Qwen2.5-7B-Instruct,100
balance,balanced,easy,ZeroShot,hierarchy,Qwen2.5-7B-Instruct,100
balance,unbalanced,hard,ZeroShot,hierarchy,Qwen2.5-7B-Instruct,77.78
balance,unbalanced,hard,ZeroShot,edge,Qwen2.5-7B-Instruct,66.67
balance,balanced,hard,ZeroShot,edge,Qwen2.5-7B-Instruct,66.67
balance,unbalanced,easy,ZeroShot,hierarchy,Qwen2.5-7B-Instruct,100
balance,balanced,hard,ZeroShot,hierarchy,Qwen2.5-7B-Instruct,61.11
balance,unbalanced,medium,ZeroShot,hierarchy,Qwen2.5-7B-Instruct,77.78
infix_traversal,unbalanced,hard,ZeroShot,hierarchy,QwQ-32B,0
infix_traversal,unbalanced,easy,ZeroShot,hierarchy,QwQ-32B,33.33
infix_traversal,unbalanced,medium,ZeroShot,hierarchy,QwQ-32B,7.41
infix_traversal,balanced,medium,ZeroShot,hierarchy,QwQ-32B,18.52
infix_traversal,balanced,easy,ZeroShot,edge,QwQ-32B,75
infix_traversal,unbalanced,easy,ZeroShot,edge,QwQ-32B,37.5
infix_traversal,balanced,hard,ZeroShot,hierarchy,QwQ-32B,0
infix_traversal,balanced,easy,ZeroShot,hierarchy,QwQ-32B,50
infix_traversal,unbalanced,medium,ZeroShot,edge,QwQ-32B,25.93
infix_traversal,balanced,medium,ZeroShot,edge,QwQ-32B,29.63
infix_traversal,unbalanced,hard,ZeroShot,edge,QwQ-32B,0
infix_traversal,balanced,hard,ZeroShot,edge,QwQ-32B,0
infix_traversal,balanced,hard,ZeroShot,hierarchy,Qwen2.5-7B-Instruct,0
infix_traversal,unbalanced,hard,ZeroShot,edge,Qwen2.5-7B-Instruct,0
infix_traversal,balanced,medium,ZeroShot,edge,Qwen2.5-7B-Instruct,0
infix_traversal,unbalanced,easy,ZeroShot,hierarchy,Qwen2.5-7B-Instruct,4.17
infix_traversal,unbalanced,medium,ZeroShot,hierarchy,Qwen2.5-7B-Instruct,0
infix_traversal,balanced,easy,ZeroShot,hierarchy,Qwen2.5-7B-Instruct,16.67
infix_traversal,balanced,hard,ZeroShot,edge,Qwen2.5-7B-Instruct,0
infix_traversal,unbalanced,medium,ZeroShot,edge,Qwen2.5-7B-Instruct,0
infix_traversal,unbalanced,hard,ZeroShot,hierarchy,Qwen2.5-7B-Instruct,0
infix_traversal,unbalanced,easy,ZeroShot,edge,Qwen2.5-7B-Instruct,20.83
infix_traversal,balanced,medium,ZeroShot,hierarchy,Qwen2.5-7B-Instruct,0
infix_traversal,balanced,easy,ZeroShot,edge,Qwen2.5-7B-Instruct,33.33
