SubTask,Difficulty,ExampleType,InputMode,ModelName,Accuracy
all_children,medium,ZeroShot,hierarchy,Qwen2.5-7B-Instruct,72.22
all_children,hard,ZeroShot,edge,Qwen2.5-7B-Instruct,65.28
node_depth,easy,ZeroShot,hierarchy,QwQ-32B,24.24
node_depth,medium,ZeroShot,edge,QwQ-32B,38.89
node_depth,easy,ZeroShot,edge,QwQ-32B,45.45
node_depth,medium,ZeroShot,hierarchy,QwQ-32B,27.78
node_depth,hard,ZeroShot,hierarchy,QwQ-32B,19.44
node_depth,hard,ZeroShot,edge,QwQ-32B,26.39
node_depth,easy,ZeroShot,hierarchy,Qwen2.5-7B-Instruct,9.09
node_depth,medium,ZeroShot,hierarchy,Qwen2.5-7B-Instruct,13.89
node_depth,hard,ZeroShot,edge,Qwen2.5-7B-Instruct,16.67
node_depth,hard,ZeroShot,hierarchy,Qwen2.5-7B-Instruct,15.28
node_depth,easy,ZeroShot,edge,Qwen2.5-7B-Instruct,21.21
node_depth,medium,ZeroShot,edge,Qwen2.5-7B-Instruct,25
common_ancestor,medium,ZeroShot,edge,QwQ-32B,27.78
common_ancestor,hard,ZeroShot,hierarchy,QwQ-32B,29.17
common_ancestor,hard,ZeroShot,edge,QwQ-32B,18.06
common_ancestor,medium,ZeroShot,hierarchy,QwQ-32B,30.56
common_ancestor,easy,ZeroShot,hierarchy,QwQ-32B,36.36
common_ancestor,easy,ZeroShot,edge,QwQ-32B,33.33
common_ancestor,easy,ZeroShot,edge,Qwen2.5-7B-Instruct,75.76
common_ancestor,medium,ZeroShot,hierarchy,Qwen2.5-7B-Instruct,75
common_ancestor,medium,ZeroShot,edge,Qwen2.5-7B-Instruct,70.83
common_ancestor,hard,ZeroShot,hierarchy,Qwen2.5-7B-Instruct,66.67
common_ancestor,hard,ZeroShot,edge,Qwen2.5-7B-Instruct,62.5
common_ancestor,easy,ZeroShot,hierarchy,Qwen2.5-7B-Instruct,84.85
root,hard,ZeroShot,hierarchy,QwQ-32B,33.33
root,hard,ZeroShot,edge,QwQ-32B,29.17
root,medium,ZeroShot,edge,QwQ-32B,36.11
root,easy,ZeroShot,hierarchy,QwQ-32B,54.55
root,easy,ZeroShot,edge,QwQ-32B,45.45
root,medium,ZeroShot,hierarchy,QwQ-32B,37.5
root,hard,ZeroShot,hierarchy,Qwen2.5-7B-Instruct,98.61
root,easy,ZeroShot,edge,Qwen2.5-7B-Instruct,75.76
root,medium,ZeroShot,edge,Qwen2.5-7B-Instruct,80.56
root,easy,ZeroShot,hierarchy,Qwen2.5-7B-Instruct,90.91
root,hard,ZeroShot,edge,Qwen2.5-7B-Instruct,75
root,medium,ZeroShot,hierarchy,Qwen2.5-7B-Instruct,91.67
add_node,medium,ZeroShot,hierarchy,QwQ-32B,1.39
add_node,hard,ZeroShot,hierarchy,QwQ-32B,1.39
add_node,medium,ZeroShot,edge,QwQ-32B,8.33
add_node,easy,ZeroShot,hierarchy,QwQ-32B,0
add_node,hard,ZeroShot,edge,QwQ-32B,5.56
add_node,easy,ZeroShot,edge,QwQ-32B,6.06
add_node,medium,ZeroShot,hierarchy,Qwen2.5-7B-Instruct,41.67
add_node,hard,ZeroShot,hierarchy,Qwen2.5-7B-Instruct,33.33
add_node,hard,ZeroShot,edge,Qwen2.5-7B-Instruct,22.22
add_node,medium,ZeroShot,edge,Qwen2.5-7B-Instruct,23.61
add_node,easy,ZeroShot,edge,Qwen2.5-7B-Instruct,42.42
add_node,easy,ZeroShot,hierarchy,Qwen2.5-7B-Instruct,54.55
isomorphic,easy,ZeroShot,edge,QwQ-32B,60.61
isomorphic,hard,ZeroShot,edge,QwQ-32B,54.17
isomorphic,hard,ZeroShot,hierarchy,QwQ-32B,55.56
isomorphic,medium,ZeroShot,hierarchy,QwQ-32B,55.56
isomorphic,medium,ZeroShot,edge,QwQ-32B,55.56
isomorphic,easy,ZeroShot,hierarchy,QwQ-32B,54.55
isomorphic,hard,ZeroShot,hierarchy,Qwen2.5-7B-Instruct,48.61
isomorphic,hard,ZeroShot,edge,Qwen2.5-7B-Instruct,56.94
isomorphic,medium,ZeroShot,hierarchy,Qwen2.5-7B-Instruct,68.06
isomorphic,easy,ZeroShot,edge,Qwen2.5-7B-Instruct,81.82
isomorphic,medium,ZeroShot,edge,Qwen2.5-7B-Instruct,58.33
isomorphic,easy,ZeroShot,hierarchy,Qwen2.5-7B-Instruct,66.67
all_ancestor,medium,ZeroShot,edge,QwQ-32B,54.17
all_ancestor,hard,ZeroShot,edge,QwQ-32B,63.89
all_ancestor,medium,ZeroShot,hierarchy,QwQ-32B,56.94
all_ancestor,hard,ZeroShot,hierarchy,QwQ-32B,70.83
all_ancestor,easy,ZeroShot,edge,QwQ-32B,60.61
all_ancestor,easy,ZeroShot,hierarchy,QwQ-32B,72.73
all_ancestor,medium,ZeroShot,hierarchy,Qwen2.5-7B-Instruct,69.44
all_ancestor,hard,ZeroShot,edge,Qwen2.5-7B-Instruct,45.83
all_ancestor,easy,ZeroShot,hierarchy,Qwen2.5-7B-Instruct,63.64
all_ancestor,hard,ZeroShot,hierarchy,Qwen2.5-7B-Instruct,43.06
all_ancestor,easy,ZeroShot,edge,Qwen2.5-7B-Instruct,51.52
all_ancestor,medium,ZeroShot,edge,Qwen2.5-7B-Instruct,58.33
